word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
To take something into consideration/ account,,xem xét cái gì,to consider or remember something when judging a situation,"No business will succeed if it fails to take the needs of customers
into account/into consideration.","Việc kinh doanh không thể thành công nếu như không xem xét đến nhu
cầu của khách hàng.",phrase,IELTS
To break into a market,,thâm nhập thị trường,"to enter a market with the connotation that entrance to the industry
was difficult.","It is difficult to break into the market for designer sportswear
because there is too much competition from leading brands like Nike.","Rất khó khăn để thâm nhập thị trường quần áo thể thao do sự cạnh
tranh mạnh từ các thương hiệu dẫn đầu như Nike.",phrase,IELTS
To keep someone's word,,Giữ lời,to uphold one's promise; to do as one says,"I lent him a lot of money, so I hope that he keeps his word and
repays the loan.","Tôi cho anh ta vay rất nhiều tiền, nên tôi hy vọng anh ta sẽ giữ lời và
hoàn trả khoản nợ đó cho tôi.",phrase,IELTS
To reach a consensus,,đạt được thỏa thuận,to come to an agreement,"The directors of the company have reached a consensus on the new
business plan.","Các giám đốc của công ty đã đạt được thỏa thuận về kế hoạch kinh
doanh mới.",phrase,IELTS
To make the most of something,,tận dụng cái gì,"to make something appear as good as possible; to exploit
something; to get as much out of something as is possible.","They designed the advertisements to make the most of the
product's features.","Họ thiết kế những quảng cáo có thể khai thác tối đa các đặc trưng của
sản phẩm.",phrase,IELTS
To go out of business,,phá sản,"if a company goes out of business, it stops doing business
permanently, especially because it has failed",If we sold food at those prices we'd soon go out of business.,"Nếu ta bán thực phẩm với mức giá đó, không sớm thì muộn ta cũng sẽ
phá sản.",phrase,IELTS
To do market research,,nghiên cứu thị trường,"to collect information about what people buy and why they choose
it.","Advertising companies do a lot of market research before they
design promotion campaigns.","Các công ty quảng cáo thực hiện việc nghiên cứu thị trường rất nhiều
trước khi họ đề xuất các chiến dịch quảng bá xúc tiến.",phrase,IELTS
To make cutbacks,,cắt giảm,"to decrease, to reduce","The company made cutbacks at their stores in New York and many
employees were dismissed.","Công ty giảm số lượng cửa hàng tại New York khiến nhiều nhân viên bị
sa thải.",phrase,IELTS
To manage expectations,,quản lý kỳ vọng,"Seek to prevent disappointment by establishing in advance what
can realistically be achieved or delivered by a project, undertaking, course of
action, etc.","the company needs to manage the expectations of investors by
presenting a realistic figure for next year's estimated profits.","Công ty cần quản lý kỳ vọng của những nhà đầu tư bằng cách trình bày
những số liệu về lợi nhuận đã được dự tính của năm sau.",phrase,IELTS
To make a calculation,,tính toán,to assess a situation and figure out (or guess) the outcome,"We cannot make a precise calculation of the price until we have all
the costs.","Chúng ta không thể dự đoán chính xác mức giá cho tới khi biết được
toàn bộ chi phí.",phrase,IELTS
To pay in arrears,,"trả tiền sau
Ý nghĩa: cách thức trả tiền cho nhà cung cấp chậm hơn so với điều khoản của
hợp đồng","refers to making a payment to a supplier later than the terms of the
arrangement under which goods or services were purchased from the
supplier.","The company pays one month in arrears to all its suppliers and
employees.","Công ty đó trả tiền chậm 1 tháng cho tất cả nhà cung cấp và cả nhân
viên.",phrase,IELTS
