word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to cover a lot of ground,,sử dụng rất nhiều tài liệu,to deal with much information and many facts.,The history lecture covered a lot of ground today.,Bài giảng lịch sử hôm nay sử dụng rất nhiều tài liệu.,phrase,IELTS
to tailor teaching styles/ strategies,,biến đổi phương pháp dạy học,"to make or prepare teaching styles following particular
instructions","When faced with classes of students with different levels of
ability, teachers should tailor their teaching strategies to deal with this
challenge.","Khi phải dạy những lớp có học sinh có trình độ khác nhau, giáo viên
cần biến đổi phương pháp dạy để đối mặt với khó khăn này.",phrase,IELTS
a high-flyer,,người ham học/ nhiều tham vọng,"someone who has the desire and ability to be very successful in
their studies","The problem with our teacher is that she explains things too
quickly for most of the students and she pays most attention only to the
academic high-flyers in the class.","Vấn đề của cô giáo chúng tôi là cô ấy giảng bài quá nhanh và chỉ
quan tâm tới những học sinh ham học trong lớp.",phrase,IELTS
transmission of knowledge,,truyền đạt kiến thức,the process of passing knowledge from one person to another,"I believe that the transmission of knowledge is more effective
in face-to-face interaction with teachers rather than online learning.","Tôi tin rằng việc truyền đạt kiến thức sẽ diễn ra hiệu quả khi có
tương tác trực tiếp với giáo viên hơn là qua việc dạy trực tuyến.",phrase,IELTS
interactive learning,,hình thức học tương tác,"Refers to a method of teaching and learning in which teachers
ask questions in class, assign and check homework, or hold class or group
discussions.","With or without the aid of technology, interactive learning helps
students strengthen problem solving and critical thinking skills.","Dù có hay không sự hỗ trợ của công nghệ, hình thức học tương tác
giúp học sinh cải thiện khả năng giải quyết vấn đề và tăng tư duy phản
biện.",phrase,IELTS
to bombard someone with something,,khủng bố thông tin,"to continually send someone something, esp. to inform or
influence them.","Every day it seems as if we are bombarded with e-mail
messages warning of computer viruses.","Ngày nào chúng tôi cũng như thể bị khủng bố bằng những tin nhắn
qua email về việc cảnh báo có virus máy tính.",phrase,IELTS
to have a good grasp of something,,thấu hiểu/ nắm bắt cái gì,to understand a problem deeply and completely,"Children who begin to learn a foreign language in primary school
are usually able tohave a good grasp of the new language quickly.","Trẻ em mới bắt đầu học ngoại ngữ tại trường tiểu học thường sẽ
nắm bắt được ngôn ngữ mới rất nhanh chóng.",phrase,IELTS
to make the grade,,đạt được tiêu chuẩn/ kết quả,To successfully reach the necessary standard,"Nobody can succeed in their studies if they rely on luck rather
than hard work to make the grade.","Không ai có thể thành công trong việc học nếu họ chỉ dựa vào vận
may chứ không chăm chỉ cố gắng để đạt được kết quả.",phrase,IELTS
continuous assessment,,"đánh giá liên tục, thường xuyên","giving students marks for course work or projects, rather than
formal exams","Many students prefer continuous assessment because they
consider that exams are unfair and too stressful.","Nhiều học sinh thích việc đánh giá thường xuyên hơn vì họ cho rằng
các kì thi là không công bằng và gây áp lực.",phrase,IELTS
to be out of one's depth,,vượt quá khả năng nhận thức,to be unable to understand something because it is too difficult,"Streaming in schools enables pupils to study at the level which is
appropriate for them, and therefore students rarely find themselves out
oftheir depth.","Phân lớp tại trường học cho phép học sinh học ở trình độ phù hợp
với mình, và ít khi bị rơi vào tình trạng vượt quá khả năng nhận thức.",phrase,IELTS
a formal examination,,kì thi chính thức,"a test conducted under strict, regulated conditions","Entrance to university usually involves achieving required grades
in a formal examination, such as IELTS.","Đầu vào đại học thường yêu cầu đạt điểm chuẩn trong một kì thi
chính thức, ví dụ như IELTS.",phrase,IELTS
to work your way through university,,,"to have a job when you are at college/university in order to help
to pay for your studies","He had to work his way through university because his family
was so poor that they could not afford his tuition fees.
Dịch đai ý
To work your way through university: vừa làm vừa học","Anh ấy phải vừa làm vừa học vì gia đình anh ấy quá nghèo nên
không thể chi trả học phí của anh ấy.",phrase,IELTS
to take a year out,,nghỉ 1 năm để trải nghiệm,"It is when you have finished your school and you've got a place
at the University but you'd rather spend a year at ""the school of life"", either
working, doing some community work, doing something adventurous.","Taking a year out before starting your degree course can give
you a chance to further develop your skills, as well as giving you the
opportunity perhaps to travel and work in a different country.","Trải nghiệm 1 năm trước khi bắt đầu học đại học cho bạn cơ hội
phát triển kĩ năng của mình và cũng là cơ hội đi du lịch và làm việc tại 1
quốc gia khác.",phrase,IELTS
to sift information,,loại bỏ thông tin,to remove unwanted or less useful information,"I had to sift hundreds of pages of information to discover the
data that I needed to support my theory.","Tôi phải loại bỏ hàng trăm trang thông tin để tìm được thông tin
cần thiết cho nghiên cứu của mình.",phrase,IELTS
to work/study under supervision,,làm việc dưới sự hướng dẫn của ai đó,work/ study under the direction of a responsible person,"At college, I discovered I did not have to work under
supervision all the time, and I was free to do independent research.","Ở trường đại học, tôi nhận ra tôi không phải làm việc dưới sự hướng
dẫn, và tôi được nghiên cứu độc lập.",phrase,IELTS
Top-tier institutions,,các trường danh tiếng,leading or prestigious educational institutions,"The government has pumped huge amounts of money into a
select group of top-tier institutions in recent years.","Chính phủ đã bơm một lượng tiền khổng lồ cho nhóm trường đại
học danh tiếng được lựa chọn trong những năm gần đây.",phrase,IELTS
to deliver a lecture,,giảng bài,to give a lecture,"It is just as easy to deliver a lecture online as it is to give a
lecture in front of a class of students in a lecture theatre.","Giảng bài trực tuyến cũng dễ dàng như giảng bài trực tiếp trước mặt
cả lớp trong một giảng đường.",phrase,IELTS
streaming in schools,,phân lớp ở trường học,"the policy of dividing pupils into groups of the same level of
ability","One disadvantage of streaming in schools is that children in the
lower groups have less motivation to study because they think of
themselves as failures.","Một trong những bất lợi của việc phân lớp ở trường học là học sinh
ở những nhóm thấp hơn sẽ có ít động lực học vì họ nghĩ mình là một thất
bại.",phrase,IELTS
extra-curricular activities,,hoạt động ngoại khóa,not part of the usual course work or studies in school or college,"Most UK universities offer a wide range of extra-curricular
activities such as sport, music and drama to help students enjoy university
life to the full.","Đa số các trường đại học Anh đều có nhiều hoạt động ngoại khóa
đa dạng như thể thao, âm nhạc và kịch để giúp sinh viên tận hưởng cuộc
sống đại học.",phrase,IELTS
to fall behind with your studies,,học đuối,"to improve more slowly in studying than other people so that
you fail to learn the course material at the necessary speed","Irregular attendance at classes is one of reasons why some
students fall behind with their studies.","Thường xuyên vắng mặt ở lớp là một trong những lí do khiến học
sinh học đuối hơn các bạn.",phrase,IELTS
to drop out of college,,bỏ học,to leave college or university without finishing your studies,"A number of students drop out of college when faced with the
pressure of formal exams.","Một số sinh viên bỏ học khi phải chịu áp lực từ những kỳ thi chính
thức.",phrase,IELTS
