word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
The space race,,cuộc chạy đua vào không gian,"competition between the US and the Soviet Union in the 1950s
and 60s to be the first to explore space","The space race in the 1950s marks an important point in the
development of space exploration","Cuộc chạy đua vào không gian những năm 1950 đánh dấu một dấu
mốc quan trọng trong sự phát triển của hành trình thám hiểm vũ trụ.",phrase,IELTS
A space probe,,tàu thăm dò vũ trụ,a type of space craft that does not have a person inside,"Space probes can be sent to far distances for long periods of
time to gather information about different areas in space.","Những chiếc tàu thăm dò vũ trụ có thể du hành trong quãng đường
lớn với thời gian dài để thu thập tin tức về các khu vực khác nhau trong vũ
trụ.",phrase,IELTS
A lunar module,,tàu thám hiểm vũ trụ Mặt trăng,"a small craft used for travelling between the moon and the larger
space craft orbiting the moon.","When the first men walked on the moon they came out of the
lunar module. The first man to walk on the moon said ""One small step for
a man, one giant leap for mankind.""","Khi những người đầu tiên đặt chân lên mặt trăng, họ bước ra từ tàu
thám hiểm vũ trụ Mặt trăng. Người đầu tiên bước xuống đã nói “Một bước
chân nhỏ bé của một người, một bước tiến vĩ đại của loài người”",phrase,IELTS
To put into orbit,,đặt vào quỹ đạo,"To send something into space, following a curved path of a
planet or an object as it moves around a star, a moon or a planet",A new satellite has been put into orbit around the earth.,Một vệ tinh mới đã được đặt vào quỹ đạo quanh Trái Đất.,phrase,IELTS
Manned space flight,,chuyến bay vào không gian có người lái,a voyage into space which has a person to control it,"As manned space flights are so dangerous, many checks must
be carried out first.","Vì những chuyến bay vào không gian do người lái rất nguy hiểm
nên nhiều cuộc kiểm tra phải được tiến hành trước.",phrase,IELTS
To launch a space rocket,,phóng tên lửa không gian,to send a rocket into space,"Nowadays, men launch space rockets – not ships – to discover
new worlds.","Ngày này, con người phóng tên lửa vào không gian thay vì các du
thuyền để khám phá những thế giới mới.",phrase,IELTS
The cosmos,,vũ trụ,"the universe, especially when it is thought of as an ordered
system","Although the challenge of exploring and understanding
thecosmos is exciting, it is also very expensive","Dù những thách thứ để khám phá vũ trụ tạo nhiều hứng thú, nhưng
nó cũng rất đắt đỏ.",phrase,IELTS
To pour money into space research,,đổ tiền vào nghiên cứu vũ trụ,to spend enormous amounts of money on space research,"Some people argue that it is wasteful to pour money into space
research.",Một số người cho rằng đổ tiền vào nghiên cứu vũ trụ là lãng phí.,phrase,IELTS
A test flight,,chuyến bay thử nghiệm,"a flight during which a space craft or part of its equipment is
tested",Test flights add to the huge costs of space exploration.,"Những chuyến bay thử nghiệm gây tốn kém thêm rất nhiều trong
công cuộc khám phá vũ trụ.",phrase,IELTS
A space shuttle,,tàu con thoi,"a spacecraft designed to be used, for example, to travel between
the earth and a space station","The first space shuttle was front-page news, but now people are
no longer excited by the concept.","Tàu con thoi đầu tiên đã từng là tin tức nóng hổi nhất trên trang
nhất các báo, nhưng giờ mọi người không còn quan tâm vấn đề này nữa.",phrase,IELTS
