word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
To be thronged with tourists,,chật ních khách du lịch,"refers to the situation of a place having a great number of visitors crowded
or considered together","At weekends, London, in particular, is swarming with tourists and certain
areas of the city such as Oxford Street and Covent Garden are thronged
with visitors.","Vào cuối tuần, cụ thể ở London, đầy những du khách và một số khu vực tong
thành phố như Oxford Street hay Convent Garden thì chật ních người.",phrase,IELTS
To swarm with tourists,,đầy những khách,"when people swarm somewhere, they move there in a large group or in
large numbers.","During the summer, the little seaside town is swarming with
holidaymakers.","Vào mùa hè, thị trấn nhỏ ven biển đầy những vị khách tới nghỉ mát.",phrase,IELTS
Family outings,,dã ngoại gia đình,family excursions for pleasure,"It's time to give your child a bigger world to discover by lining up a few fun
family outings that are tailor-made for the little ones in your life.","Đã tới lúc cho con bạn khám phá thế giới rộng lớn bằng cách tổ chức một số
chuyến dã ngoại gia đình, những chuyến đi đã được làm lại để phù hợp với trẻ nhỏ.",phrase,IELTS
Backpackers,,khách du lịch ba lô (người Việt Nam gọi là tây ba lô),"people who travel on holiday carrying all their equipment and clothes in a
backpack, like a large very strong bag which they carry on their back'","London has cheap accommodation for backpackers who don't have much
money to spend on hotels.","London có những phòng nghỉ giá rẻ cho du khách ba lô, những người không
có nhiều tiền để ở khách sạn.",phrase,IELTS
To break the bank,,dùng hết sạch tiền,to use up all one's money/ to cost too much.,"Having a winter vacation in the sun without breaking the bank is a dream
come true","Có được một kì nghỉ mùa đông dưới ánh mặt trời mà không phải chi hết sạch
tiền bạc là một giấc mơ có thực.",phrase,IELTS
Motion/travel sickness,,say xe,"an irritated feeling which is caused by repeated unusual movements during
travelling","During long car or bus journeys, she often suffers from motion sickness.","Trong những chuyến đi dài bằng xe ô tô hay xe bus, cô ấy thường bị say xe.",phrase,IELTS
To hurt tourism,,Gây tổn thương tới ngành du lịch,to have negative impacts on tourism,A weaker dollar could hurt outbound tourism.,Đồng đô la yếu sẽ ảnh hưởng xấu tới du lịch quốc tế.,phrase,IELTS
The height of the tourist season,,cao điểm mùa vụ,"the time of year when the greatest number of people visit a place and
when the prices are at their highest level","Mid-summer in the UK is normally the height of the tourist season, so
remember to book a hotel in advance.","Mùa hè tại Vương Quốc Anh thường là đỉnh điểm của mùa vụ du lịch, nên hãy
nhớ đặt trước phòng khách sạn.",phrase,IELTS
To experience phenomenal growth,,trải qua hiện tượng tăng trưởng,"to experience an extremely successful or special development, especially in
a surprising way","In recent decades there has been a substantial diversification in
international tourism destinations, and many developing countries have experienced
phenomenal growth in tourist arrivals and receipts.","Trong một vài thập kỷ gần đây, có một sự đa dạng hóa đáng kể về các điểm
đến du lịch quốc tế, và nhiều quốc gia đang phát triển đã trải qua hiện tượng tăng
trưởng về lượng khách đến và các khoản thu từ du lịch.",phrase,IELTS
To book,,đặt chỗ,"to reserve something, such as a hotel room or a ticket","I'd like to book a table for two at 8pm this evening, please.",Tôi muốn đặt bàn cho 2 người vào lúc 8h tối nay.,phrase,IELTS
A boost to tourism,,đòn bẩy cho du lịch,the act of improving the development of tourism,"The new train service will enable visitors to reach the resort and provide a
boost to tourism in the area.","Dịch vụ tàu hỏa mới cho phép du khách tới thẳng khu nghỉ dưỡng và cung cấp
một đòn bẩy để phát triển du lịch khu vực này.",phrase,IELTS
To plague sth,,gây tổn thương cái gì,"to cause worry, pain, or difficulty to someone or something over a period
of time","Tourist hotspots are also plagued by problems like theft, begging and drug
abuse.","Các điểm nóng du lịch cũng bị tổn thương do những vấn đề như trộm cắp, ăn
xin và thuốc phiện.",phrase,IELTS
Ecotourism,,Du lịch sinh thái,"organized holidays which are designed so that tourist damage the
environment as little as possible.","Ecotourism will become increasingly popular in the future, as more and
more people become aware of the need to protect the environment","Du lịch sinh thái sẽ trở nên phổ biến rộng rãi trong tương lai, vì ngày càng có
nhiều người có ý thức bảo vệ môi trường hơn.",phrase,IELTS
To be rewarded by a vista,,được chiêm ngưỡng một cảnh tượng hùng vĩ,"to see a view, especially a beautiful view from a high position after a hard
time","After a hard climb, we were rewarded by a picture-postcard vista of rolling
hills under a deep blue summer sky.","Sau khi vất vả trèo lên đỉnh, chúng tôi đã được chiêm ngưỡng cảnh tượng đẹp
như trong tranh của những ngọn đồi dưới bầu trời xanh thẳm của mùa hè.",phrase,IELTS
To have a thirst for something,,khao khát được làm gì,to have a strong desire for something,"He has been all over the world, but he still has a thirst for seeing new
places and enjoying new experiences.","Anh ấy đã đi khắp thế giới, nhưng vẫn khao khát được đặt chân tới những nơi
mới lạ và tận hưởng những trải nghiệm mới.",phrase,IELTS
To have a whale of a time,,có một khoảng thời gian vui vẻ,to have an exciting or fun time,We had a whale of a time at Ninh Van Bay Resort.,"Chúng tôi đã có một khoảng thời gian vui vẻ tại Khu nghỉ dưỡng Vịnh Ninh
Vân.",phrase,IELTS
A package holiday,,kì nghỉ trọn gói,"a holiday that is organized by a company at a fixed price, including the cost
of a hotel, travel etc.","Package holidays to Spain started to become popular in the UK in the
1960s.","Du lịch trọn gói tới Tây Ban Nha bắt đầu phổ biến tại Vương Quốc Anh vào
những năm 1960.",phrase,IELTS
To sunbathe,,tắm nắng,"to sit or lie in the sun, in order to get brown/to get a suntan","I don't like to sunbathe when I go to the beach, so I spend most of the
time swimming in the sea.","Tôi không thích tắm nắng khi đi biển, hầu hết thời gian tôi đều đi bơi.",phrase,IELTS
To put to the test,,thử thách,"to see what someone or something can achieve, to find out how good
someone or something is",Adventure tours put my survival skills to the test.,Những chuyến du lịch mạo hiểm đã thử thách các kỹ năng sinh tồn của tôi.,phrase,IELTS
To get away from it all,,thoát khỏi cuộc sống hiện tại,to have a holiday in a very quiet place where you can relax.,"Tourists have always traveled to natural areas of beauty to avoid the noisy
crowds and to get away from it all.","Du khách luôn tới những cảnh đẹp tự nhiên để tránh đám đông ồn ào và thoát
khỏi nhịp sống vội vã thường ngày.",phrase,IELTS
The holiday of a lifetime,,chuyến du lịch không thể quên,a special holiday that you are unlikely to repeat,He is planning the holiday of a lifetime to see pandas in China.,"Anh ấy đang lập kế hoạch cho một chuyến du lịch đáng nhớ để đi xem gấu
trúc tại Trung Quốc.",phrase,IELTS
A wildlife safari,,chuyến thám hiểm hoang dã,a holiday [often in Africa] to see wild animals.,"The company organizes wildlife safaris in Africa to see lions and elephants
in their natural habitats.","Công ty tổ chức chuyến thám hiểm hoang dã tại Châu Phi để xem sư tử và voi
trong môi trường sống tự nhiên của chúng.",phrase,IELTS
