word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to be prone to obesity,,chắc chắn sẽ béo phì,to be likely to become fat [in an unhealthy way],"Children who are addicted to watching television, instead of
playing outdoor games, are more prone to obesity.","Trẻ em nghiện xem ti vi thay vì ra ngoài chơi càng chắc chắn sẽ béo
phì.",phrase,IELTS
eating disorders,,rối loạn ăn uống,"problems which occur when people are unhappy with their
bodies, and therefore eat far too much or far too little.","Advertising tells women that they should have bodies like
supermodel celebrities, and this sometimes leads to eating disorders such
as anorexia or bulimia.","Quảng cáo đã khuyên phụ nữ cần có thân hình như những siêu mẫu,
và điều này đôi khi dẫn tới rối loạn ăn uống như chán ăn và ăn ói.",phrase,IELTS
safe hygiene standards,,tiêu chuẩn vệ sinh an toàn,"a safe level of keeping yourself, living areas or working areas
clean in order to prevent illness and disease","Maintaining safe hygiene standards in hospitals, homes and
workplaces is a simple and inexpensive way to combat the spread of
diseases.","Giữ gìn tiêu chuẩn vệ sinh an toàn trong bệnh viện, nhà và nơi làm
việc là một cách đơn giản và không tốn kém để ngăn chặn sự lây lan của
dịch bệnh.",phrase,IELTS
to keep their teeth healthy,,giữ gìn răng miệng khỏe mạnh,to take care of their teeth by cleaning them regularly,"Advertisements encourage youngsters to brush their teeth
several times a day in order to keep their teeth healthy.","Các tin quảng cáo khuyến khích trẻ em đánh răng vài lần 1 ngày để
giữ răng miệng sạch sẽ.",phrase,IELTS
to launch a full-scale investigation into sth,,"triển khai 1 cuộc điều tra toàn
diện về cái gì","to start an investigation completely or using all available
methods, equipment, money, etc.","Scientists are about to launch a full-scale investigation into the
cause of the outbreak of the disease.","Các nhà khoa học chuẩn bị triển khai 1 cuộc điều tra toàn diện về
nguyên nhân của sự bùng nổ dịch bệnh.",phrase,IELTS
the outbreak of an epidemic,,sự bùng phát của dịch bệnh,"a large number of diseases occurring at the same time in a
particular community","A lack of government programs for vaccination and regular
health care may lead to the outbreak of an epidemic, particularly in
developing countries.","Việc thiếu hụt các chương trình của chính phủ cho vắc xin phòng
bệnh và chăm sóc sức khỏe thường xuyên có thể dẫn tới sự bùng phùng
của dịch bệnh, nhất là tại các nước đang phát triển.",phrase,IELTS
sedentary lifestyle,,phong cách sống thiếu vận động,involving little exercise or physical activity,"A sedentary lifestyle is a major factor in health problems such as
obesity and heart disease.","Sống thiếu vận động là yếu tố chính dẫn đến các vấn đề về sức khỏe
như béo phì và các bệnh về tim.",phrase,IELTS
healthy eating habits,,thói quen ăn uống lành mạnh,eating healthy food at regular times of the day,"Health education involves teaching people about healthy eating
habits, such as regular mealtimes and eating fruit and vegetables every
day.","Giáo dục sức khỏe cần dạy cho mọi người thói quen ăn uống lành
mạnh, như là giờ ăn hợp lý và cần ăn rau và trái cây mỗi ngày.",phrase,IELTS
to take regular exercise,,tập thể dục thường xuyên,to do some physical activity on a regular basis,"Authorities should encourage people of all ages to take regular
exercise by providing facilities in each community.","Chính quyền nên khuyến khích người dân ở mọi lứa tuổi tập thể dục
thường xuyên bằng cách cung cấp trang thiết bị cho mỗi khu dân cư.",phrase,IELTS
a fitness regime,,chế độ tập luyện,a method or routine of taking regular exercise,"Even elderly people can adopt a fitness regime by taking light
exercise such as walking or jogging.","Ngay cả người già cũng có thể có chế độ tập luyện bằn cách tập các
bài tập nhẹ như đi bộ.",phrase,IELTS
health awareness campaigns,,chiến dịch tuyên truyền sức khỏe,"publicity to encourage people to be concerned about looking
after their health.","Public health awareness campaigns are essential if people are
to accept that they have a personal responsibility to look after their own
health.","Chiến dịch tuyên truyền sức khỏe cho cộng đồng là rất cần thiết nếu
mọi người chấp nhận rằng họ có trách nhiệm cá nhân trong việc chăm sóc
sức khỏe của mình.",phrase,IELTS
preventive medicine,,thuốc phòng bệnh,practices of healthcare intended to try to stop illnesses,"An emphasis on preventive medicine will result in a healthier
population and reduced costs for medical treatment.","Tập trung vào thuốc phòng bệnh sẽ mang lại dân cư khỏe mạnh
hơn và giảm chi phí y tế.",phrase,IELTS
alternative healthcare,,liệu pháp thay thế,"this is a term used by many western countries to describe more
traditional types of healthcare that do not involve operations and
pharmaceutical drugs.","Naturopathy is a form of alternative healthcare which treats
illness and diseases using natural foods, herbs and other techniques.","Thiên nhiên liệu pháp là một liệu pháp thay thế mà chữa bệnh bằng
thức ăn tự nhiên, thảo dược và các kỹ thuật khác.",phrase,IELTS
public health services,,Dịch vụ y tế công cộng,"the agencies funded by the government to protect and promote
the health of the population","I would argue that funding for public health services should be
the main priority of all governments.","Tôi cho rằng tài trợ cho dịch vụ y tế công cộng nên là ưu tiên chính
của mọi quốc gia.",phrase,IELTS
to take out private health insurance,,đăng ký bảo hiểm y tế tư nhân,"to make regular payments to an insurance company, who will
pay for medical or hospital treatment when you need it","In countries with poor public health services, many people have
to take out private health insurance in order to receive adequate
medical treatment.","Ở những quốc gia có dịch vụ y tế công cộng kém phát triển, nhiều
người phải đăng ký bảo hiểm y tế tư nhân để nhận được sự chăm sóc y tế
thích hợp.",phrase,IELTS
