word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to be computer-literate,,sử dụng tốt máy tính,able to use computers well,"In today's competitive job market, it is essential to be computer-
literate.","Trong thị trường lao động đầy cạnh tranh hiện nay, sử dụng thành
thạo máy tính là rất cần thiết.",phrase,IELTS
to computerize something,,máy tính hóa/ đưa máy tính vào làm việc,to provide a computer or computers to do the work,"The factory has been fully computerized, enabling it to produce
more efficiently.","Nhà máy đó đã được máy tính hóa hoàn toàn, cho phép việc sản
xuất hiệu quả hơn.",phrase,IELTS
advances in technology,,tiến bộ công nghệ,the improvement or development in technology,"Recent advances in medical technology are making a great
contribution to the search for a cure for Aids.",,phrase,IELTS
to download podcasts,,tải các ứng dụng âm thanh,to save a copy of a file from the internet to your own device,"Computer technology is extremely useful for learning a new
language. I often download podcasts to improve my listening skills.","Công nghệ máy tính thực sự hữu ích cho việc học ngoại ngữ. Tôi
thường tải các ứng dụng âm thanh để tăng khả năng nghe.",phrase,IELTS
video conferencing,,hội thoại thấy hình,"to see and discuss with people in different locations using the
Internet.","In the worlds of business and education, video conferencing has
enabled people to exchange ideas without travelling across the world.","Trong thế giới kinh doanh và giáo dục, hội thoại thấy hình cho phép
người ta trao đổi ý kiến mà không cần phải đi khắp nơi trên thế giới.",phrase,IELTS
the college intranet,,mạng nội bộ trong trường cao đẳng,"a network of computers within a college that can only be
accessed by the staff and students to set and mark work, enter into contact
etc.","Distance learning in education has been made possible by
innovations such as the college intranet system.",,phrase,IELTS
silver surfer,,người già dùng mạng,an old person who spends a lot of time using the Internet,"Although young people are often more computer-literate than
the older generation, nevertheless there are many silver surfers who use
the internet all the time.","Dù người trẻ thường sử dụng máy tính thành thạo hơn thế hệ lớn
tuổi, tuy nhiên có rất nhiều người già dùng mạng thường xuyên.",phrase,IELTS
a technological breakthrough,,một đột phá về công nghệ,an important new discovery in technology,"The development of the micro-chip was atechnological
breakthrough which transformed the way in which people communicate.","Sự phát triển của micro-chip là một đột phá trong công nghệ, đã
thay đổi cách mọi người giao tiếp.",phrase,IELTS
discourage real interaction,,cản trở sự tương tác trực tiếp,to result in less face-to-face communication with other people,"the availability of new communication technologies may also
have the result of isolating people and discouraging real interaction.","Sự sẵn có của những công nghệ giao tiếp mới có thể sẽ cô lập con
người và cản trở sự tương tác trực tiếp.",phrase,IELTS
leading-edge technology,,công nghệ hàng đầu/ tiên tiến nhất,the most advanced position in technology,"Manufacturers of electronic devices always advertise their
products as having the latest leading-edge/cutting-edge technology.","Những nhà sản xuất thiết bị điện tử luôn quảng cáo sản phẩm của
họ sử dụng công nghệ hàng đầu, tiên tiến nhất hiện nay.",phrase,IELTS
to become obsolete,,trở nên lỗi thời,to be no longer used because something new has been invented,"Technological innovation is now so rapid, that even the latest
electronic devices soon become obsolete.","Đổi mới công nghệ diễn ra nhanh chóng khiến cho thiết bị điện tử
mới nhất cũng nhanh chóng trở nên lỗi thời.",phrase,IELTS
the digital revolution,,cách mạng số,"the advancement of technology to the digital technology
available today","The digital revolution has fundamentally changed the way that
people work, communicate, behave and even think.","Cách mạng số đã thay đổi một cách cơ bản cách con người làm vệc,
giao tiếp, ứng xử và cả trong suy nghĩ.",phrase,IELTS
labour-saving appliances,,thiết bị tiết kiệm sức lao động,"machines that reduce the amount of work or effort needed to
do something.","The technological revolution in the home started with the
introduction of labour-saving appliances such as washing machines and
dishwashers.","Cách mạng công nghệ tại gia bắt đầu từ việc ra mắt những thiết bị
tiết kiệm sức lao động như máy giặt, máy rửa bát..,",phrase,IELTS
to apply something to something,,ứng dụng cái gì vào đâu,"to use something or make something work in a particular
situation","The new technology applied to farming has led to a huge
reduction in the agricultural workforce.","Công nghệ mới được ứng dụng trong nông nghiệp đã giúp giảm
một lượng lớn khối lượng công việc.",phrase,IELTS
to gain access to the internet/to access the internet,,kết nối mạng,to have the opportunity to use the internet,"Millions of people are able to access the internet in cafes,
libraries or other public places.","Hàng triệu người có thể kết nối mạng tại quán café, thư viện và
những nơi công cộng khác.",phrase,IELTS
wireless technology,,công nghệ không dây,"using radiowaves to transmit information, rather than wires
Examples: Wireless technology has enabled places such as hotels, airports
and coffee shops to offer wi-fi connection to customers wishing to access
the internet.",,"Công nghệ không dây đã cho phép những nơi như khách sạn, sân
bay hay quán café cung cấp kết nối wifi cho khách hàng muốn truy cập
mạng.",phrase,IELTS
