word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
a work of art/a work of music/a work of literature,,một tác phẩm hội họa/ âm nhạc/ văn học,"a painting, sculpture, book, play, piece of music etc","Shakespeare's plays are considered as one of the greatest works of
literature in the English language.","Những vở kịch của Shakespeare được coi là một trong những tác phẩm
văn học bằng tiếng Anh vĩ đại nhất.",phrase,IELTS
the aesthetic qualities of something,,chất lượng thẩm mỹ của cái gì,"The qualities related to beauty and understanding the beauty of
something.","One advantage of studying the arts is that students learn to
appreciate the aesthetic qualities of paintings, literature and music.","Một trong những ưu điểm của việc học nghệ thuật là học sinh có thể
hiểu và trân trọng chất lượng thẩm mỹ của những bức họa, tác phẩm văn học
và âm nhạc.",phrase,IELTS
the portrayal of something/somebody,,"miêu tả chân dung/ khắc họa chân
dung ai đó","the act of showing or describing something/somebody in a book,
painting, play or film","In the past, the portrayal of women in art was often as possessions,
owned by rich men.","Trước đây, việc khắc họa chân dung phụ nữ được coi là đặc quyền của
người giàu.",phrase,IELTS
a private viewing,,đi xem trước triển lãm,"an occasion when a few people are invited to look at an exhibition
of paintings before it is open to the public.","Paintings are sometimes considered as a form of investment, and art
dealers arrange private viewings for art collectors to purchase works of value.","Hội họa đôi khi được coi như một hình thức đầu tư, và các nhà buôn
bán nghệ thuật sắp xếp những buổi xem trước triển lãm để những nhà sưu
tập tranh có thể xem xét, định giá.",phrase,IELTS
to be a connoisseur of,,người am hiểu cái gì đó,"an expert on matters involving the judgment of beauty, quality or
skill in art or music","In order to enjoy beautiful paintings, it is not necessary to be a
connoisseur of works of art.","Không cần phải là một người am hiểu nghệ thuật mới có thể thưởng
thức vẻ đẹp của những bức họa.",phrase,IELTS
a priceless portrait,,bức chân dung vô giá,a painting of a person that is extremely valuable,"Private art collections may sometimes include priceless portraits of
kings or queens painted by famous artists.","Bộ sưu tập tranh cá nhân đôi khi bao gồm cả những bức chân dung vô
giá của những vị vua và hoàng hậu được vẽ bởi những họa sĩ nổi tiếng.",phrase,IELTS
to commission a work of art,,đặt làm/ mua một tác phẩm nghệ thuật,"to officially ask somebody to paint a picture or compose a piece of
music for you","Artists in the past often relied on wealthy people to
commissionpaintings or music from them.","Nghệ sĩ trước kia thường trông chờ người giàu có đặt mua những bức
tranh hay bản nhạc của họ.",phrase,IELTS
an art movement,,trường phái nghệ thuật,a group of artists who share similar ideas,"The creative aspect of art is demonstrated by the number of art
movements over the centuries – including the Impressionists, the Romantics
and the Modernists.","Khía cạnh sáng tạo của nghệ thuật được thể hiện bởi hàng loạt những
phong trào nghệ thuật qua nhiều thế kỉ - bao gồm trường phái ấn tượng, chủ
nghĩa lãng mạn và chủ nghĩa hiện đại.",phrase,IELTS
performance art,,nghệ thuật biểu diễn,"A form of art in which the artist performs something, rather than
producing a physical work of art","Some tourist destinations offer performance art by actors to
recreate events from local history, such as battles or local legends.","Một số điểm đến du lịch có các buổi biểu diễn nghệ thuật để tái tạo
những sự kiện lịch sử, như một trận chiến hay các huyền thoại tại địa phương.",phrase,IELTS
funding for the arts,,quỹ nghệ thuật,"the act of providing money for artists, writers, musicians etc","Government funding for the arts encourages people of artistic
ability to express their talent to the public.","Quỹ nghệ thuật của nhà nước khuyến khích người có năng khiếu nghệ
thuật thể hiện tài năng của họ tới công chúng.",phrase,IELTS
