word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
Labor productivity,,năng suất lao động,"the rate at which a worker, a company or a country produces
goods, and the amount produced, compared with how much time, work
and money is needed to produce them",Wage rates depend on levels of labor productivity.,Tỉ lệ tiền lương phụ thuộc vào mức năng suất lao động.,phrase,IELTS
Unemployment benefits,,trợ cấp thất nghiệp,"money paid by the government to somebody who is
unemployed","In times of economic crisis, the amount paid in unemployment
benefits is an added burden on the government budget.","Vào thời gian khủng hoảng kinh tế, tiền trợ cấp thất nghiệp là một
gánh nặng thêm vào cho ngân sách chính phủ.",phrase,IELTS
To acquire experience/knowledge/skill:,,"có được kinh nghiệm, kỹ năng","to gain experience/knowledge/skill by your own efforts or
behavior","Some school leavers prefer to acquire experience working in a
chosen profession rather than entering university.","Một số người tốt nghiệp cấp 3 thích có được kinh nghiệm làm việc ở
một nghề nghiệp nhất định hơn là học đại học.",phrase,IELTS
Put knowledge gained into practice,,áp dụng kiến thức đã học vào thực tế,to put to practical use the knowledge that you have acquired,"Vocational training courses enable students to put the
knowledge gained during their studies into practice.","Các khóa học đào tạo nghề cho phép học sinh sử dụng kiến thức đã
học vào thực tiễn.",phrase,IELTS
Minimum wage,,lương tối thiểu,the lowest wage that an employer is allowed to pay by law,"A minimum wage is necessary in order to ensure a decent
standard of living for low-paid workers.","Mức lương tối thiểu là cần thiết để đảm bảo mức sống tử tế cho
những công nhân lương thấp.",phrase,IELTS
To job-share,,chia sẻ công việc,"to share the hours of work and the pay of one job between two
people","Many employers are willing to employ people part-time or allow
them to job-share, as long as the duties of each person are clear.","Nhiều ông chủ sẵn sàng thuê nhân viên bán thời gian hoặc cho
phép chia sẻ công việc, miễn là nhiệm vụ của mỗi người rõ ràng.",phrase,IELTS
Flexible working hours,,thời gian làm việc linh hoạt,"hours of work that can be changed by agreement between the
employer and the employee","For some employees, flexible working hours are more
important even than a high salary.","Với một số nhân viên, thời gian làm việc linh hoạt quan trọng hơn cả
mức lương cao.",phrase,IELTS
Health and safety in the workplace,,an toàn và sức khỏe tại nơi làm việc,"Conditions which are safe and are not a danger to health in
factories, offices or other places where people work","Government inspectors should regularly monitor companies to
ensure that standards of health and safety in the workplace are
observed.","Thanh tra chính phủ nên giám sát các công ty thường xuyên để đảm
bảo tiêu chuẩn về an toàn và sức khỏe tại nơi làm việc.",phrase,IELTS
Working mothers,,những bà mẹ làm việc,"Mothers who have to go out to work as well as to look after
children","Workplace practices such as job-sharing and flexible working
hours have made life easier for working mothers.","Những nơi làm việc cho phép chia sẻ công việc và thời gian làm việc
linh hoạt đã giúp những bà mẹ phải làm việc có cuộc sống dễ dàng hơn.",phrase,IELTS
To take early retirement,,nghỉ hưu sớm,"to stop working before reaching the age at which people usually
stop working","Older employees should take early retirement to give young
people a better chance to find work.","Những người công nhân già nên nghỉ hưu sớm để cho những người
trẻ cơ hội tìm việc làm tốt hơn.",phrase,IELTS
Aretirement package,,chế độ hưu trí,"the money or other benefits that you receive from a company or
organization when you stop working there because of your age","Companies who value their employees should offer a generous
retirement package.","Những công ty trân trọng nhân viên thường đưa ra chế độ hưu trí
rộng rãi.",phrase,IELTS
Holiday entitlement,,số ngày nghỉ phép,the number of days off work that you are allowed as holidays,"It is important to know the holiday entitlement before
accepting a job.","Quan trọng là biết được số ngày nghỉ phép trước khi nhận một công
việc.",phrase,IELTS
Sick leave,,nghỉ ốm,permission to stay away from work because of illness or injury,"Important factors when choosing a job include holiday
entitlement, sick leave and a company pension scheme.","Những yếu tố quan trọng khi lựa chọn công việc bao gồm số ngày
nghỉ phép, nghỉ ốm và chế độ lương hưu.",phrase,IELTS
Annual leave,,kì nghỉ hàng năm,"a period of time when you are allowed to be away from work for
a holiday/vacation","Parents often take their annual leave at the same time as the
long school holidays.","Cha mẹ thường dùng ngày nghỉ hàng năm cùng thời gian với kỳ
nghỉ dài của trường học.",phrase,IELTS
Job prospects,,triển vọng công việc,"the chances of being successful and having more opportunities
at work","People with qualifications and experience usually have the best
job prospects.","Những người có bằng cấp và kinh nghiệm thường có triển vọng
công việc tốt hơn.",phrase,IELTS
Promotion opportunities,,cơ hội thăng tiến,"chances to move to a more important position in a company or
organization","Perhaps the most important factor when choosing a job are the
promotion opportunities/promotion prospects.","Có lẽ yếu tố quan trọng nhất khi lựa chọn công việc là cơ hội thăng
tiến hay triển vọng công việc.",phrase,IELTS
To move up the career ladder,,bước cao hơn trong nấc thang sự nghiệp,a series of stages by which you can make progress in your career,"Ambitious employees look for a job in which there is a chance to
move up the career ladder.","Những nhân viên tham vọng thường tìm một công việc có thể bước
cao hơn trong nấc thang sự nghiệp.",phrase,IELTS
To pursue a successful career,,theo đuổi sự nghiệp thành đạt,"to have a series of jobs in a particular area of work, with more
responsibility as time passes","While many people wish to pursue a successful career, for
others it is more important to find work which is interesting and enjoyable.","Trong khi nhiều người mong muốn theo đuổi sự nghiệp thành đạt,
một số người khác việc tìm một công việc thú vị lại quan trọng hơn.",phrase,IELTS
To take a career break,,nghỉ việc một thời gian (sẽ quay lại làm việc),"a period of time when you do not do your usual job, for
example because you have children to care for","Some companies offer female employees the opportunity to
take a career break for a few years if they have young children to care
for.","Một số công ty cho phép nữ nhân viên nghỉ việc trong vài năm nếu
họ có con nhỏ cần chăm sóc.",phrase,IELTS
