word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to hide one's light under a bushel,,giấu taì,to conceal one's talents and skills,"Please don't hide your light under a bushel—the Society needs
your valuable expertise.","Xin đừng che giấu tài năng của anh – xã hội cần những kiến thức vô
giá của anh.",phrase,IELTS
to throw a tantrum,,tức giận vô cớ,to become very angry and unreasonable,"When you are a grown-up, you don't throw a tantrum if
something offends you, you discuss it.","Khi đã là một người trưởng thành, bạn sẽ không còn tức giận vô cớ
nếu có gì không vừa lòng, mà sẽ thẳng thắn nói về điều đó.",phrase,IELTS
to stamp one's mark on sth,,để lại dấu ấn cá nhân,"to affect or change something in a way that allows people to
recognize one's influence",She has stamped her own mark on the British film industry.,"Cô ấy đã để lại dấu ấn cá nhân trong ngành công nghiệp điện ảnh
của nước Anh.",phrase,IELTS
a clash of personalities,,sự bất đồng về tính cách,"a situation in which two people disagree because they have very
different personalities","There had been a clash of personalities between the two
leaders over the question of defence policy.","Hai vị lãnh đạo có sự trái ngược về tính cách khi nói về chiến lược
phòng thủ.",phrase,IELTS
to have a superiority complex,,"phức cảm tự tôn (ngược với phức cảm tự ti
– inferiority complex)",to have a feeling that one is superior to others,"She has a superiority complex, imagining that she is somehow
better at everything than her classmates.","Cô ấy có phức cảm tự tôn, ảo tưởng rằng cô ấy tốt hơn về mọi mặt
so với các bạn cùng lớp.",phrase,IELTS
to hear something through the grapevine,,nghe đồn,"to hear news from someone who heard that news from someone
else, to learn of something informally and unofficially by means of gossip
or rumor.","Never believe the gossip that you hear through the grapevine –
always try to find the truth from an official source.","đừng bao giờ tin vào những lời đồn đại bạn nghe được mà hãy luôn
tìm kiếm sự kiếm từ nguồn tin đáng tin cậy.",phrase,IELTS
to act one's age,,"cư xử đúng mực, đúng lứa tuổi",to behave in a way suitable for someone as old as you are,"During the most recent years of her career, Madonna has faced
criticism for her revealing outfits, her outrageous performances and her
decision to collaborate with her younger contemporary contemporaries,
with many calling for her to “act her age”.","Trong những năm gần đây của sự nghiệp ca hát, Madonna phải đối
diện với rất nhiều sự chỉ trích phê bình về trang phục biểu diễn hở hang,
những bài trình diễn phản cảm và quyết định yêu người kém hơn nhiều
tuổi, và nhiều người kêu gọi cô ấy hãy cư xử đúng tuổi.",phrase,IELTS
codes of conduct,,quy tắc xứng xử,voluntary rules which people accept in a situation,"The Code of Conduct is voluntary but it is seen as a sign of best
practice.","Bộ quy tắc ứng xử là tự nguyện nhưng nó được coi là tiêu chuẩn
thực hiện.",phrase,IELTS
to assimilate knowledge,,tiếp nhận kiến thức,to absorb and understand knowledge,"Some people claim that children assimilate knowledge more
easily than adults, citing studies into the way that young children learn.","Một số người khẳng định rằng trẻ em tiếp thu kiến thức dễ dàng
hơn người lớn, căn cứ vào những nghiên cứu về cách trẻ nhỏ học tập.",phrase,IELTS
to marshal facts,,đưa ra lập luận,to organise facts in support of an idea,"His tutor asked him to marshal facts on the history of China in
preparation for the exam.","Gia sư của anh ta yêu cầu anh ta đưa ra quan điểm, lập luận về lịch
sử của Trung Quốc để chuẩn bị cho kì thi",phrase,IELTS
to be a team player,,người giỏi làm việc nhóm,a person who willingly cooperates with others,"Employees who are good team players are more likely to be
selected for promotion.","Những nhân viên có khả năng làm việc tốt sẽ có nhiều cơ hội được
chọn để thăng tiến hơn.",phrase,IELTS
the downfall of communication,,suy giảm giao tiếp,the decline of communication,"Texting and social media are causing the downfall of society's
interpersonal communication.","Tin nhắn và các phương tiện truyền thông khác đang gây ra sự suy
giảm trong giao tiếp trực tiếp giữa người với người trong xã hội.",phrase,IELTS
