"word_pos_id","word_id","pos_tag_id","lemma_word_id","frequency_count","level"
"1","159572","12",,"14306","6"
"2","109633","14",,"66173","6"
"3","77173","12",,"10456","4"
"4","4266","12",,"23948680","3"
"5","40616","14",,"842163","6"
"6","62281","12",,"75534","6"
"7","47823","7",,"274555","4.43528970046929"
"8","74633","13","993","209902","3"
"9","84063","13",,"151328","6"
"10","2483","7",,"272580","4"
"11","138271","14",,"27471","6"
"12","73092","12",,"209848","6"
"13","115597","12",,"54788","6"
"14","64629","14",,"302261","6"
"15","16133","12",,"96739","3"
"16","128175","14",,"37153","6"
"17","23725","7",,"176413","6"
"18","41593","14",,"788074","6"
"19","27403","14",,"1792805","6"
"20","118696","14",,"49770","6"
"21","1765","20",,"91728457","2"
"22","30602","12",,"50625","4"
"23","16495","20",,"4392822","6"
"24","50277","12",,"83263","6"
"25","16429","12",,"4376381","6"
"26","2845","13","1596","54499594","2"
"27","165426","14",,"12140","6"
"28","83539","14",,"116308","6"
"29","5587","12",,"23251991","3.67625152009573"
"30","55767","12",,"92799","6"
"31","81915","14",,"162913","6"
"32","87093","14",,"136503","3"
"33","119175","14",,"49005","6"
"34","28466","14",,"1667702","6"
"35","54455","14",,"450918","6"
"36","18538","29","4266","2832852","3"
"37","23530","12",,"2374266","6"
"38","148415","14",,"20086","6"
"39","56572","14",,"253189","6"
"40","54377","13","24444","452603","6"
"41","5188","7","6872","10906717","3"
"42","48018","14",,"593323","6"
"43","865","12",,"129416063","1"
"44","50026","14",,"514703","6"
"45","8084","12",,"13613702","1"
"46","38340","20",,"107578","6"
"47","23822","3",,"226789","6"
"48","2927","29","1218","52935869","1"
"49","135667","14",,"29777","6"
"50","147182","12",,"20871","6"
"51","86488","14",,"139161","6"
"52","6373","14",,"19376549","3.91089876516705"
"53","73176","12",,"207750","6"
"54","17220","14",,"4074743","5.17784207083698"
"55","2356","7",,"298453","6"
"56","39644","14",,"610566","6"
"57","2972","12",,"51846384","3"
"58","18489","14",,"3509571","5.838179398697"
"59","68761","14",,"259527","6"
"60","64437","14",,"304481","3"
"61","154334","14",,"16728","6"
"62","2055","13","3332","77726143","2.84645804370527"
"63","36592","12",,"1023840","6"
"64","16564","14",,"4363281","6"
"65","39612","13","9061","886403","4.70723374150721"
"66","60671","14",,"119339","6"
"67","79218","14",,"116589","6"
"68","13398","27","15078","6208579","5.87369328058351"
"69","59568","12",,"249927","6"
"70","424","20",,"29836333","1"
"71","29318","14",,"1580444","6"
