word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
a dysfunctional family,,gia đình bất hòa,a family in which the relationships are bad or unhealthy,"Children who come from a dysfunctional family often exhibit
behavioral problems at school.","Trẻ em xuất thân từ những gia đình bất hòa thường có những vấn
đề về hành vi cư xử tại trường học.",phrase,IELTS
to end in divorce,,ly hôn,to end a marriage legally,"It is increasingly common in my country for marriages to end
indivorce.",Ở nước tôi hôn nhân đang có xu hướng kết thúc trong ly hôn.,phrase,IELTS
a divorce settlement,,sự dàn xếp ly hôn,"refers to the decisions about the division of assets when a
marriage ends","The negotiation of a divorce settlement is often a long and
expensive process.","Sự thương lượng về dàn xếp ly hôn thường là quá trình kéo dài và
tốn kém.",phrase,IELTS
patterns of behavior,,đặc trưng hành vi,ways of acting and doing things (either positive or negative),"Patterns of behaviour copied from parents often influence the
way that children grow up.","Đặc trưng hành vi bắt chước từ phụ huynh thường ảnh hưởng cách
trẻ trưởng thành..",phrase,IELTS
a form/method of contraception,,phương pháp tránh thai,the method intended to prevent a woman becoming pregnant,"The various forms of contraception freely available nowadays
are an important factor in limiting the size of families.","Những phương pháp tránh thai có sẵn hiện nay là một yếu tố quan
trọng trong việc giới hạn quy mô gia đình.",phrase,IELTS
formative years,,giai đoạn hình thành,"A period of a person's life, usually childhood, that has a big
influence on the person they become later in life","UNICEF states that the early childhood years from birth through
age 8 are formative years in terms of intelligence, personality and social
behavior.","UNICEF khẳng định là những năm tuổi thơ từ khi sinh đến qua 8 tuổi
là giai đoạn hình thành sự thông minh, nhân cách và cách cư xử giao tiếp.",phrase,IELTS
to shape a child's personality/ value,,hình thành tính cách,to decide or influence the form of a child's personality,"Parents are very influential in shaping their children's personality
through the example that they set.","Cha mẹ có ảnh hưởng rất lớn đến việc hình thành tính cách của trẻ
con thông qua những việc họ làm mẫu.",phrase,IELTS
child custody,,quyền nuôi con,"the decision over whether the father or the mother has
responsibility for looking after the children following a divorce","With rising divorce rates in many developed countries, child
custody cases are becoming increasingly common in the law courts.","Với tỉ lệ li hôn ngày càng cao ở những quốc gia phát triển, những vụ
tranh chấp quyền nuôi con ngày càng trở nên phổ biến.",phrase,IELTS
birth control,,sinh đẻ có kế hoạch/ hạn chế sự sinh đẻ,"the use of a method to prevent a woman from becoming
pregnant","The many methods of birth control now available have
contributed to a reduction in the birth rate in many developed countries.","Nhiều phương pháp để kế hoạch hóa việc sinh đẻ có sẵn hiện nay
góp phần làm giảm tỉ lệ sinh ở nhiều quốc gia phát triển.",phrase,IELTS
to have an abortion/to terminate a pregnancy,,phá thai,"to prevent the birth of an unborn baby by having a medical
operation","Although some religious pressure groups disagree, many people
claim that it is the right of a woman to have an abortion if she wishes.","Dù nhiều tôn giáo phản đối, nhiều người vẫn tin rằng một phụ nữ có
quyền phá thai nếu cô ấy muốn.",phrase,IELTS
a family planning clinic,,phòng khám kế hoạch hóa gia đình,"a clinic which gives advice and help on controlling the number of
children which a woman has","Governments in all countries should provide funding for a
network of family planning clinics.","Chính phủ các nước cần trợ cấp quỹ hỗ trợ cho một mạng lưới các
phòng khám kế hoạch hóa gia đình.",phrase,IELTS
to pay child support,,trả tiền trợ cấp nuôi con,"refers to regular payments to help with expenses to look after
the children after a divorce or separation","After a divorce, the mother usually has custody of the children
and the father has to pay child support until the children become adults.","Sau ly hôn, người mẹ thường được quyền nuôi con còn người cha
thì phải trả tiền trợ cấp cho tới khi đứa trẻ trưởng thành.",phrase,IELTS
