word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to abide by,,tuân thủ,,"Motorists who do not abide by the rules of the road should be
severely punished.","Những người lái xe mô tô không tuân thủ luật giao thông đường bộ
cần bị trừng phạt nghiêm khắc.",phrase,IELTS
parliamentary democracy,,"dân chủ nghị viện, chế độ nghị viện","a system of government in which candidates are voted to
represent the people of a country in a national parliament or assembly","Freedom of speech is usually one of the rights enjoyed by
citizens in a parliamentary democracy.","Quyền tự do ngôn luận là một trong những quyền của người dân
thuộc chế độ nghị viện dân chủ.",phrase,IELTS
to adhere to,,"tôn trọng, tuân theo chặt chẽ","to behave according to a particular law, rule, set of instructions,","Governments which fail to adhere to their election promises
generally become unpopular very quickly.","Chính phủ nào không tuân theo chặt chẽ những gì đã hứa trong
cuộc bầu cử thường sẽ nhanh chóng mất đi tín nhiệm.",phrase,IELTS
constitutional government,,chính phủ hợp hiến,connected with the laws which a country is governed by,"The media have an important role to play in reporting on the
actions of politicians, to ensure the proper functioning of constitutional
government.","Truyền thông đóng vai trò quan trọng trong việc theo dõi và cung
cấp thông tin về hoạt động của các chính trị gia để đảm bảo thực hiện
đúng chức năng của chính phủ hợp hiến.",phrase,IELTS
the executive branch,,cơ quan hành pháp,"that part of the government organisation responsible for
implementing laws and decisions","The enforcement of policies affecting schools and hospitals is
the responsibility of theexecutive branch of the government.","Việc áp đặt các chính sách liên quan đến trường học và bệnh viện là
trách nhiệm của cơ quan hành pháp thuộc chính phủ.",phrase,IELTS
the legislative branch,,cơ quan lập pháp,that part of the government responsible for making laws,"Laws relating to human rights have been passed by the
legislative branch of many national governments.","Các điều luật liên quan đến quyền con người phải được thông qua
bởi cơ quan lập pháp của nhiều chính phủ.",phrase,IELTS
the separation of powers,,nguyên tắc phân quyền,"the principle that separates government authority into three
branches – legislative (the Parliament or Senate), executive (the President
or Ministers) and the judiciary (the judges and courts).","In the USA, the independence of the courts from the
government is safeguarded by the separation of powers.","Tại Hoa Kỳ, sự độc lập của tòa án, không phụ thuộc chính phủ được
đảm bảo bởi nguyên tắc phân quyền.",phrase,IELTS
to adopt policies,,"chấp nhận, thông qua chính sách",to start to use particular policies,"In order to deal with traffic congestion, the government must
adopt policies to restrict the use of private cars.","Để giải quyết vấn đề tắc đường, chính phủ phải thông qua chính
sách hạn chế sử dụng xe cá nhân.",phrase,IELTS
to impose spending cuts,,áp dụng cắt giảm ngân sách,to introduce new rules to spend less money on something,"It is essential for the authorities to impose spending cuts on
space programs in order to fund health services.","Chính quyền cần phải áp dụng cắt giảm ngân sách cho các chương
trình về vũ trụ để ưu tiên cho các dịch vụ sức khỏe.",phrase,IELTS
to raise taxes on,,tăng thuế về gì,to increase the amount of tax on something,"Governments should raise taxes on cigarettes to persuade more
people to give up smoking.","Chính phủ nên tăng thuế thuốc lá để thuyết phục mọi người ngừng
hút thuốc.",phrase,IELTS
to curb public spending on,,cắt giảm ngân sách chung của cái gì,to restrict what the government spends on something,"I would argue that it is preferable to curb public spending on
building new roads rather than to impose spending cuts on education.","Tôi cho rằng nên cắt giảm ngân sách chung để xây đường mới hơn
là áp dụng cắt giảm ngân sách cho giáo dục.",phrase,IELTS
to allocate resources to,,phân bổ nguồn lực,to make money and materials available to do something,"If governments allocate more resources to improving public
transport, this will reduce the problem of traffic congestion in cities.","Nếu chính phủ phân bổ nhiều nguồn lực hơn để cải thiện phương
tiện công cộng, nó sẽ giúp làm giảm vấn đề tắc đường tại các thành phố.",phrase,IELTS
to introduce restrictions on,,áp dụng giới hạn lên cái gì/ hạn chế,to limit what people can do or what can happen,"The government must introduce restrictions on smoking in
public places.",Chính phủ cần áp dụng giới hạn về việc hút thuốc nơi công cộng.,phrase,IELTS
to infringe on/upon something,,xâm phạm,to limit somebody's legal rights,"Governments must sometimes infringe upon individual
freedoms in the wider interests of society.","Chính phủ đôi lúc phải xâm phạm quyền tự do cá nhân trong các
vấn đề lớn hơn của cả xã hội.",phrase,IELTS
