word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
social services,,cơ quan dịch vụ xã hội,"a system that is organized by the government to help people
who have financial or family problems; the department or the people who
provide this help","Governments should assist poor families through the provision of
adequate social services.","Chính phủ nên hỗ trợ các hộ gia đình nghèo thông qua việc thiết lập
đầy đủ các cơ quan dịch vụ xã hội.",phrase,IELTS
domestic violence,,bạo lực gia đình,violence among family members in the home,"Children who witness domestic violence between parents often
develop problems.","Những trẻ em đã từng chứng kiến bạo lực gia đình giữa bố mẹ mình
thường phát triển nhiều vấn đề.",phrase,IELTS
social conscience,,ý thức xã hội,"the state of being aware of the problems that affect a lot of
people in society, such as being poor or having no home, and wanting to
do something to help these people","Charities depend on the social conscience of the public in order
to obtain donations and recruit volunteer helpers.","Các hoạt động từ thiện phụ thuộc vào ý thức xã hội của toàn thể
cộng đồng để có thế được ủng hộ, quyên góp cũng như thu nạp các tình
nguyện viên",phrase,IELTS
social networking sites,,trang mạng xã hội,"a website that you use to communicate with people who share
your interests","An excellent way to learn another language is to make friends on
social networking sites with people who speak that language.","Một cách học tiếng nước ngoài tuyệt vời đó là kết bạn với những
người nói cùng thứ tiếng đó trên các mạng xã hội",phrase,IELTS
social and community centres,,Trung tâm văn hóa cộng đồng,"places where people who live in the same area can meet for
events or to do different activities","Elderly people who live alone are able to make friends and enjoy
life more if local authorities provide social and community centres.","Những người già neo đơn có thể làm bạn và tận hưởng cuộc sống
nhiều hơn nếu như các nhà chức trách địa phương xây dựng các trung tâm
văn hóa cộng đồng.",phrase,IELTS
a multicultural society,,xã hội đa văn hóa,"a society which includes people of different origins, traditions
and languages","Immigration has led to the development of multicultural
societies in the US, Europe and Australia.","Người nhập cư đã tạo nên sự phát triển xã hội đa văn hóa ở Mỹ,
Châu Âu và Úc",phrase,IELTS
minority groups,,dân tộc thiểu số,"small groups within a community that are different because of
their origin, religion, language or traditions","Children from minority groups are sometimes victims of
bullying at school.","Các trẻ em dân tộc thiểu số thỉnh thoảng là nạn nhân của việc bị bắt
nạt ở trường.
8.segregate somebody (from somebody)
Meaning: to separate people of different races, religions or sexes and treat
them in a different way
Example: Although society no longer tolerates the policy of segregating
whites from blacks, many people of different origins live in their own
separate communities.
Dịch đại ý
Segregate somebody (from somebody): cô lập một ai đó
Nghĩa: tách biệt người thuộc chủng tộc khác, có tôn giáo khác hoặc giới
tính khác và cư xử với họ một cách khác biệt
Ví dụ: Mặc dù xã hội không còn chấp nhận các chính sách tách biệt người
da đen với người da trắng, rất nhiều người có nguồn gốc khác sống trong
cộng đồng riêng của họ.
9.todiscriminate (on the grounds of something)
Meaning: to treat one person or group worse/better than another in an
unfair way
Example: It is illegal to discriminate on the grounds of race, sex or
religion.
Dịch đại ý
To discriminate (on the grounds of something): phân biệt (do sự khác biệt
nào đó)
Nghĩa: đối xử không công bằng với một người hoặc một nhóm người tồi
tệ hơn/ tốt hơn người/nhóm người khác
Ví dụ: Phân biệt chủng tộc, giới tính, hoặc tôn giáo là phạm pháp.
10.constitute/be a form of racial/race discrimination
Meaning: to be considered to be treating others in a different way because
they are not of the same colour or race.
Example: Actions which constitute a form of race/racial discrimination
are now outlawed in most countries of the world.
Dịch đại ý
Constitute/be a form of racial/race discrimination: có tính phân biệt chủng
tộc
Nghĩa: được coi là đối xử người khác một cách khác biệt bởi vì họ không
có cùng màu da hoặc chủng tộc.
Ví dụ: Các hành động có tính phân biệt chủng tộc hiện nay đã bị cấm ở
hầu hết các quốc gia trên thế giới",phrase,IELTS
colour bar,,Rào cản màu da,"a social system which does not allow black people the same
rights as white people","South Africa's colour bar made marriages between different
races illegal.","Luật rào cản màu da của Nam Phi khiến cho việc kết hôn giữa các
chủng tộc là bất hợp pháp",phrase,IELTS
asylum seeker,,người xin tị nạn,"a person who has been forced to leave their own country
because they are in danger and who arrives in another country asking to
be allowed to stay there","Hostels for asylum seekers now exist in many European
countries.","Hiện nay, các nhà nghỉ dành cho người xin tị nạn xuất hiện ở rất
nhiều quốc gia Châu Âu",phrase,IELTS
to grant refugee status,,được trao quyền tị nạn,"to be recognised by a government as a person who has been
forced to leave their country because of war, political or religious reasons","As well as helping those in need overseas, governments must
also help those who have been granted refugee status and now live in
the host country.","Ngoài việc giúp đỡ những người cần trợ giúp ở nước ngoài, các
chính phủ phải giúp đỡ những công dân được trao quyền tị nạn hiện đang
sống ở các nước chủ.",phrase,IELTS
