word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to have access to public transport,,tiếp cận với giao thông công cộng,the right or opportunity to use public transportation,"Many people who live in rural areas have no access to
publictransport and have to rely on private cars or taxis.","Rất nhiều người ở vùng ngoại ô không thể tiếp cận với giao thông
công cộng và phải dựa vào xe cá nhân hoặc taxi.",phrase,IELTS
to upgrade and expand public transport provision,,"nâng cấp và mở rộng
hệ thống giao thông công cộng","to improve bus and train services and to make these services
more available","One way to reduce traffic on the roads is to upgrade and
expand public transport provision.","Một cách để giảm lượng phương tiện trên đường là nâng cấp và mở
rộng hệ thống giao thông công cộng.",phrase,IELTS
to invest in transport infrastructure,,Đầu tư vào giao thông hạ tầng,"to spend money on improving roads, railway lines, train and bus
stations","Governments must invest in transport infrastructure to make
journeys by road and rail safer.","Chính phủ cần đầu tư vào giao thông hạ thầng để việc di chuyển
trên đường bộ và đường tàu hỏa an toàn hơn.",phrase,IELTS
an integrated transport system,,hệ thống giao thông được kết nối,"a system of timetables so that bus and train services are
connected and work together successfully","An integrated transport system would make it convenient for
people to change buses and trains to complete their journeys without long
waiting times.","Một hệ thông giao thông có kết nối sẽ tạo thuận lợi cho người đi
đường đổi chuyến xe bus và tàu để đến nơi mà không cần chờ đợi quá lâu.",phrase,IELTS
a light rail transit system,,hệ thống đường sắt trọng tải nhẹ,"a system of electric trains, like a metro, running on lines in cities.","Many large cities, such as Hong Kong, have had a light rail
transit system for many years.","Nhiều thành phố lớn, như Hong Kong, có hệ thống đường sắt trọng
tải nhẹ đã nhiều năm.",phrase,IELTS
free bus/train passes,,vé đi xe bus hoặc tàu miễn phí,documents which allow you to travel free on buses or trains,"Issuing free bus and train passes to children and the elderly
would encourage more people to use public transport.","Cung cấp vé đi tàu xe miễn phí cho trẻ em và người già sẽ khuyến
khích nhiều người sử dụng phương tiện công cộng hơn.",phrase,IELTS
aseason ticket,,vé thời vụ,"a ticket that you can use many times within a particular period,
for example on a regular train or bus journey, and that costs less than
paying separately each time","Cheap season tickets would encourage commuters to use buses
or trains regularly.","Vé thời vụ giá rẻ khuyến khích người đi làm xa sử dụng bus và tàu
thường xuyên.",phrase,IELTS
dedicated bus lanes/cycle lanes,,làn ưu tiên,"a section of a road, indicated by white lanes that only buses or
cycles are allowed to use.","City authorities should create dedicated bus lanes and cycle
lanes to encourage people to take public transport or to cycle in cities.","Chính quyền thành phố nên dành ra những phần đường ưu tiên cho
xe bus và xe đạp để khuyến khích mọi người dùng phương tiện giao thông
công cộng hoặc đạp xe trong thành phố.",phrase,IELTS
to speed up journey times,,tiết kiệm thời gian di chuyển,to reduce the amount of time spent travelling,"The creation of dedicated bus lanes would speed up journey
times and encourage more people to use bus services.","Việc tạo ra các làn đường ưu tiên cho xe bus sẽ tiết kiệm thời gian di
chuyển và khuyến khích mọi người sử dụng xe bus nhiều hơn.",phrase,IELTS
rush hour traffic jams,,tắc đường giờ cao điểm,"the time when most people are travelling to or from
work/school and so there is too much traffic on the roads.","If factories and offices introduced flexible working hours, this
would help employees to avoid rush hour traffic jams to get to or from
their place of work.","Nếu các nhà máy và văn phòng đưa ra giờ làm việc linh hoạt thì sẽ
giúp cho nhân viên tránh được tắc đường giờ cao điểm khi đi hay đi làm
về.",phrase,IELTS
park and ride,,bãi đỗ xe ngoại vi,"a system designed to reduce traffic in towns, in which people
park their cars on the edge of a town and then take a special bus or train
to the town centre","A park and ride scheme would be very effective in reducing the
number of cars in city centres.","Việc tạo lập bãi đỗ xe ngoại vi sẽ rất hiệu quả trong việc giảm lượng
xe ô tô trong trung tâm thành phố.",phrase,IELTS
to subsidize the cost of fares,,trợ giá vé,"to give money to a business or organization to help to pay for
the cost of using public transport","Governments must subsidize the cost of fares on public
transport.",Nhà nước cần trợ giá vé các phương tiện giao thông công cộng.,phrase,IELTS
