word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to take up sport/to take up exercise,,tập chơi thể thao/tập thể dục,"to start doing a sport, to start doing exercise","Governments should provide sports facilities to encourage more
people to take up sport.","Chính phủ nên xây dựng các trung tâm thể thao để khuyến khích nhiều
người tập thể thao hơn",phrase,IELTS
to get into shape,,trở nên thon thả,to become fit,"If people have a sedentary lifestyle, they must do regular exercise to
get into shape.","Nếu con người có phong cách sống ngồi nhiều, họ phải thường xuyên
tập thể dục để được thon thả",phrase,IELTS
to keep fit,,giữ dáng,to stay in good physical condition,"A healthy diet and plenty of exercise are essential for people to
keep fit.","Một chế độ ăn uống khỏe mạnh và tập luyện là cần thiết đối với người
muốn giữ dáng.",phrase,IELTS
to exert oneself,,cố gắng hết mình,to make a big physical effort to do something,"I believe that sports professionals deserve high salaries, because
constant hard training is necessary so that they can exert themselves to the
limit when they compete.","Tôi tin rằng các vận động viên thể thao xứng đáng có được một mức
lương cao bởi thường xuyên luyện tập nặng nhọc là cần thiết để họ có thể cố
gắng hết giới hạn của mình trong khi thi đấu.",phrase,IELTS
to work out at the gym,,tập thể dục trong phòng tập,to train the body by physical exercise at the gym,"As part of a healthy lifestyle, people of all ages should work out at
the gym on a regular basis.","Là một phần của phong cách sống khỏe mạnh, con người ở mọi lứa tuổi
nên tập thể dục ở phòng tập thường xuyên",phrase,IELTS
to be out of condition,,yếu ớt,to be physically unfit,"One of the causes of obesity is that many people are out of
condition and fail to exercise regularly.","Một trong những nguyên nhân của bệnh béo phì là do rất nhiều người
yếu ớt và không chịu tập thể dục thường xuyên",phrase,IELTS
to be in the peak of condition,,thể trạng khỏe mạnh nhất,to be in the best possible physical condition,"Sports professionals should receive high salaries, because they must
always be in the peak of condition in order to perform at the highest levels.","Các vận động viên thể thao nên có mức lương cao vì họ phải thường
xuyên giữ thể trạng ở mức tốt nhất để có thể thi đấu ở mức cao nhất",phrase,IELTS
to take gentle exercise,,tập thể dục nhẹ nhàng,to do exercise which is not physically demanding or tiring,"Even the elderly can keep fit by taking gentle exercise, like jogging
or even a walk in the park.","Thậm chí những người già cũng có thể giữ gìn sức khỏe bằng việc tập
thể dục nhẹ nhàng, chẳng hạn như đi bộ nhanh hoặc đi dạo trong công viên.",phrase,IELTS
alternative forms of exercise,,cách tập thể dục khác,"taking exercise in less common ways, involving the mind as well as
the body","Alternative forms of exercise, such as yoga and tai chi, are popular
in my country among people of all ages.","Các phương pháp tập thể dục khác, chẳng hạn như yoga và taichi, khá
phổ biến đối với công dân ở mọi lứa tuổi tại đất nước tôi.",phrase,IELTS
to outlaw dangerous sports,,cấm các môn thể thao nguy hiểm,to ban or prohibit sports which have a high risk of causing injury,"I believe that the government should outlaw dangerous
sportsbecause participants may suffer serious injuries.","Tôi tin rằng chính phủ nên cấm các môn thể thao nguy hiểm vì người
tham gia có thể bị chấn thương nghiêm trọng",phrase,IELTS
on safety grounds,,vì lý do an toàn,for reasons of safety,"Boxing is a very dangerous sport and must be outlawed on safety
grounds.","Đấm bốc là một môn thể thao nguy hiểm và phải bị cấm vì lý do an
toàn.",phrase,IELTS
a high/low probability of injury,,khả năng chấn thương cao/thấp,you are very likely/not very likely to be injured,"If anyone plans to take up mountaineering or skydiving, they should
be aware that there is a high probability of injury.","Nếu một ai đó có ý định thử leo núi hoặc nhảy tự do từ máy bay, họ
nên ý thức rằng khả năng chấn thương sẽ cao.",phrase,IELTS
life-threatening injuries,,chấn thương chết người,injuries which are so serious that the person may die,"Paragliding and cliff-jumping are two examples of extreme sports in
which life-threatening injuries are sustained all too often by those who take
part.","Dù lượn và nhảy xuống vách núi là hai ví dụ của các môn thể thao mạo
hiểm mà những người chơi thường xuyên gặp phải những chấn thương chết
người.",phrase,IELTS
an extreme sport,,môn thể thao mạo hiểm,a sporting activity which is very dangerous,"Personally, I cannot understand why some people take up an
extreme sport, and they should consider all the risks first.","Cá nhân tôi không hiểu tại sao một vài người có thể tham gia chơi môn
thể thao mạo hiểm, họ nên nghĩ đến các rủi ro trước.",phrase,IELTS
essential sports gear,,thiết bị thể thao cần thiết,the equipment and clothing needed to practice a particular sport,"In order to reduce the risks associated with dangerous sports,
participants should undergo rigorous training and use all the essential sports
gear required.","Để giảm thiểu rủi ro của các môn thể thao nguy hiểm, người chơi cần
phải trải qua một khóa huấn luyện kỹ càng và sử dụng toàn bộ các thiết bị thể
thao cần thiết được yêu cầu.",phrase,IELTS
to take sensible precautions,,thực hiện các biện pháp phòng tránh phù hợp,"to do something in advance in order to prevent problems or to
avoid danger","Anyone engaging in an extreme sport must take sensible
precautions and seek expert advice.","Bất kỳ ai tham gia vào các môn thể thao mạo hiểm phải thực hiện các
biện pháp phòng tránh phù hợp và hỏi ý kiến chuyên gia.",phrase,IELTS
to foster a competitive spirit,,đẩy mạnh tinh thần cạnh tranh,encourage the desire to beat others in a sports event,"The problem with encouraging sport at school is that it fosters
acompetitive spirit among students, instead of teaching children simply to
do the best that they can in all aspects of life.","Vấn đề của việc khuyến khích thể thao ở trường học đó là do thể thao
đẩy mạnh tinh thần cạnh tranh giữa các học sinh thay vì dạy cho chúng hiểu
được rằng chỉ cần làm tốt nhất những gì chúng có thể trong mọi mặt của
cuộc sống.",phrase,IELTS
the Olympic ideal,,tinh thần Olympic,"the ultimate goal is not to win but to know that you have taken part
and done your best in a competition","Unfortunately, professional sport is just another branch of the
entertainment industry, and the Olympic ideal has been lost.","Thật đáng tiếc rằng thể thao chuyên nghiệp chỉ là một nhánh của
ngành công nghiệp giải trí, và tinh thần Olympic đã không còn nữa.",phrase,IELTS
a win-at-all-costs attitude,,Tinh thần phải thắng bằng mọi giá,"an idea that a match or competition must be won, using all possible
means","Youth sport is being ruined by a win-at-all-costs attitude, which
includes cheating and breaking the rules in order to achieve victory.","Thể thao trẻ đang bị hủy hoại bởi tinh thần thắng bằng mọi giá, bao
gồm cả việc gian lận và phá luật để có thể giành chiến thắng",phrase,IELTS
be disqualified from participating,,truất quyền thi đấu,not to be allowed to join a competition,"Sportsmen or sportswomen who take drugs should be disqualified
from participating in sport for a long time.","Các vận động viên nam nữ dùng chất kích thích phải bị truất quyền thi
đấu thể thao trong một thời gian dài.",phrase,IELTS
performance-enhancing drugs,,thuốc kích thích khả năng thi đấu,drugs which improve the ability of a sportsperson to compete,"Athletes who take performance-enhancing drugs are not only
cheating, but they also set a bad example for young people.","Vận động viên dùng thuốc kích thích khả năng thi đấu không chỉ gian
lần, mà còn là một tấm gương xấu cho những người trẻ tuổi.",phrase,IELTS
to fail a drugs test,,không qua bài thử chất kích thích,"to fail an examination before or after a competition to make sure
that you have not taken illegal drugs to improve your performance","Cycling is a sport which has been discredited in recent years, as so
many competitors have failed drugs tests.","Đạp xe là một môn thể thao tai tiếng trong những năm gần đây do rất
nhiều người cạnh tranh đã không qua được bài thử chất kích thích.",phrase,IELTS
to use illegal substances,,dùng các chất phạm pháp,"to use drugs or medicines which are not allowed under the rules of
a competition","In professional sport, it has become increasingly common to use
illegal substances in order to win at all costs.","Trong thể thao chuyên nghiệp, việc sử dụng các chất phạm pháp đã trở
nên phổ biến hơn để người chơi có thể chiến thắng bằng mọi giá",phrase,IELTS
to place too much value on sport,,đề cao tầm quan trọng của thể thao,to regard sport as too important,"I would argue that schools place too much value on sport in the
curriculum, and participation in sport should be an out-of-school activity.","Tôi cho rằng các trường học đã đề cao quá tầm quan trọng của thể
thao trong lịch học của mình, việc tham gia chơi thể thao chỉ nên là một hoạt
động ngoại khóa.",phrase,IELTS
a sports fan,,người yêu thích thể thao,a person who takes a keen interest in sport,"While I think that it is healthy to be a sports fan, people should
remember that for most people, sport is just entertainment, not a matter of
life and death.","Trong khi tôi cho rằng là một người yêu thể thao là một điều tốt, mọi
người nên nhớ rằng đối với rất nhiều người, thể thao chỉ là một công cụ giải
trí, không phải vấn đề sống chết.",phrase,IELTS
to set a record,,lập kỷ lục,to achieve the best result ever achieved in a sport,"Real Madrid haveset a record for the number of goals scored in a
match.",Real Madrid đã lập kỷ lục về số bàn thắng ghi được trong một trận đấu.,phrase,IELTS
sports coverage,,tin thể thao,the activity of reporting news related to sport,"Many top sports stars are now known to millions of people around
the world because of global sports coverage by the media.","Hiện nay, rất nhiều ngôi sao thể thao hàng đầu đã được hàng triệu
người trên thế giới biết đến bởi các tin thể thao toàn cầu đăng trên truyền
thông.",phrase,IELTS
sports commentators,,bình luận viên thể thao,"people who are experts on sport and talk or write about it in the
media","Not only sports stars, but even some sports commentators have
become well-known celebrities.","Không chỉ các ngôi sao thể thao, thậm chí các bình luận viên thể thao
cũng trở thành các nhân vật danh tiếng.",phrase,IELTS
sports merchandising,,kinh doanh đồ thể thao,"the activity of selling products connected with a sport or
sportsperson","Sports merchandising is a multi-billion dollar business worldwide,
in the form of t-shirts and sports equipment.","Kinh doanh đồ thể thao là một ngành kinh doanh tỷ đô trên toàn thế
giới, với các mặt hàng là áo phông và dụng cụ thể thao.",phrase,IELTS
the endorsement of sporting goods,,đại diện thương hiệu đồ thể thao,"an advertising statement, usually by a famous sportsperson, saying
that they use or like a particular product.","In addition to their fabulous salaries, sports celebrities also make a
great deal of money through their endorsement of sporting goods such as
trainers or even casual clothes or deodorants !","Bên cạnh mức lương hấp dẫn, các ngôi sao thể thao nổi tiếng còn kiếm
được rất nhiều tiền từ việc làm đại diện cho các sản phẩm thể thao chẳng hạn
như máy tập hoặc quần áo tập hoặc sản phẩm khử mùi!",phrase,IELTS
