word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
the immune system,,hệ miễn dịch,"the system in your body that produces substances to help it fight
against infection and disease","A diet lacking in vitamins and minerals will almost certainly weaken a
person's immune system.",Chế độ ăn thiếu vitamin và khoáng chất sẽ gây suy yếu hệ miễn dịch.,phrase,IELTS
a chemical preservative,,hóa chất bảo quản,a chemical substance used to prevent food from deteriorating,"The juice contains no artificial/chemical preservatives, so drink it
within the next two or three days.","Nước hoa quả này không có hóa chất hay chất nhân tạo bảo quản, nên
hãy uống trong vòng 2 hay 3 ngày.",phrase,IELTS
artificial colo(u)ring and flavo(u)ring,,chất tạo màu và vị nhân tạo (phẩm màu),"any colours or flavours added to food, in order to make it look more
attractive or to enhance the flavour.","Consumers today expect food to look attractive and to have a
distinctive taste, so artificial colouring and flavouring is often used in the
food production process.","Người tiêu thụ hiện nay đều thích thực phẩm trông hấp dẫn và có
hương vị đặc biệt nên chất tạo màu và hương liệu thường được sử dụng trong
quá trình chế biến thực phẩm.",phrase,IELTS
food labelling,,Nhãn thực phẩm,the listing of ingredients on food packets or cans,"Food labelling should be clear in order for consumers to make
informed choices about the food that they buy.","Nhãn thực phẩm cần phải rõ ràng để người tiêu dùng có được thông
tin để lựa chọn thực phẩm họ mua.",phrase,IELTS
food processing,,chế biến thực phẩm,the treatment of food in order to make it ready for sale,"The growth of the food processing industry has meant that most of
the food that we eat is neither fresh nor locally produced.","Sự phát triển của ngành công nghiệp chế biến thực phẩm đồng nghĩa
với việc đa số thức ăn chúng ta ăn không còn tươi hay được sản xuất tại chỗ
nữa.",phrase,IELTS
shelf life,,thời hạn sử dụng,"the length of time that food can be kept, before it is too old to be
sold","Supermarkets throw away a lot of food, simply because its shelf life
has expired and it is no longer fit for sale.","Các siêu thị bỏ đi rất nhiều thức ăn, đơn giản vì nó quá hạn sử dụng và
không còn thích hợp đem bán.",phrase,IELTS
a food retailer,,nhà bán lẻ thực phẩm,a business which sells food to the public,"With the expansion of supermarkets, local food retailers have
disappeared from many neighbourhoods.","Với sự mở rộng của các siêu thị, các nhà bán lẻ thực phẩm tại địa
phương ở nhiều vùng đã biến mất.",phrase,IELTS
organic food,,thực phẩm hữu cơ,produced without using artificial chemicals,"The production of organic food causes less damage to the
environment and many people also claim that it is more nutritious.","Việc sản xuất thực phẩm hữu cơ gây ra ít tác hại đến môi trường hơn và
nhiều người cho rằng nó nhiều dinh dưỡng hơn.",phrase,IELTS
genetically modified (GM) food,,thực phẩm biến đổi gen,"food made from plants that have been genetically changed, in order
to produce more or in order to protect them from diseases/pests","There is growing public concern over the environmental
consequences of producing genetically modified food.","Hiện nay dư luận ngày càng quan tâm về những hậu quả ảnh hưởng tới
môi trường từ việc sản xuất thực phẩm biến đổi gen.",phrase,IELTS
free-range eggs/free-range meat/free-range products,,sản phẩm chăn thả tự nhiên,"related to a system in which animals are kept in natural conditions
and can move around freely","Customers who buy free-range products, such as eggs or chickens,
often do so because they oppose factory farming.","Nhưng khách hàng mua các sản phẩm chăn thả tự nhiên như trứng hay
gà, thường là do họ phản đối cách chăn nuôi công nghiệp.",phrase,IELTS
food poisoning,,ngộ độc thực phẩm,"a stomach illness as a result of eating food containing harmful
bacteria","In order to prevent cases of food poisoning, local authorities must
regularly inspect places in which food is prepared or sold to the public.","Để ngăn ngừa các ca ngộ độc thực phẩm, chính quyền địa phương phải
thường xuyên kiểm tra những nơi bán thực phẩm.",phrase,IELTS
fast food chains,,chuỗi thức ăn nhanh,"groups of shops owned by the same company, serving food to the
public","Healthy eating means avoiding eating out at fast food chains like
McDonald's or Pizza Hut.","Chế độ ăn lành mạnh nghĩa là tránh việc đi ăn ngoài ở các chuỗi thức
ăn nhanh như McDonald's hay Pizza Hut.",phrase,IELTS
junk food,,đồ ăn vặt,"food that is quick and easy to prepare and eat, but that is thought
to be bad for your health","The consumption of too much junk food is a major factor in the
increase of childhood obesity.","Việc tiêu thụ quá nhiều đồ ăn vặt là một trong những lí do chính dẫn
đến gia tăng bệnh béo phì ở trẻ em.",phrase,IELTS
