word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to discharge chemical waste,,xả chất thải hóa học,to dispose of waste products from chemical processes.,"Nowadays, more and more company and industrial zones have
been discharging chemical waste into rivers, causing death to many fish
and other aquatic animals.","Ngày càng nhiều công ty và khu công nghiệp đang xả các chất thải
hóa học ra sông ngòi, gây chết cá và những loài thủy sản khác.",phrase,IELTS
environmental degradation,,suy thoái môi trường,the process or fact of the environment becoming worse,"Africa is a continent in which environmental degradation is
evident in the spread of deserts and the extinction of animal species.","Châu Phi là một lục địa mà việc suy thoái môi trường được thể hiện
rõ ở sự sa mạc hóa và tuyệt chủng ở một số loài động vật.",phrase,IELTS
to take action on global warming,,"hành động ngăn chặn hiện tượng nóng
lên toàn cầu","to do what has to be done on problems related to global
warming","There have been numerous international conferences to warn of
the dangers, but many governments have refused to take action on
global warming.","Có rất nhiều hội thảo quốc tế được tổ chức nhằm cảnh báo về tác
hại của hiện tượng nóng lên toàn cầu, nhưng nhiều chính phủ vẫn từ chối
có hành động ngăn chặn.",phrase,IELTS
to be bio-degradable,,phân hủy sinh học,"a substance or chemical that can be changed to a natural
harmless state by the action of bacteria","Most plastics are not biodegradable, and remain as waste
products in the environment for thousands of years.","Đa số nhựa không phân hủy sinh học, và duy trì trạng thái là rác thải
trong môi trường hàng nghìn năm.",phrase,IELTS
to deplete natural resources,,làm suy giảm nguồn tài nguyên thiên nhiên,To reduce the amount of natural resources.,"Timber
companies
must
not
be
allowed
to deplete
naturalresources by cutting down trees without planting new trees to
replace them.","Công ty Timber không được phép làm suy giảm nguồn tài nguyên
thiên nhiên khi chặt cây mà không trồng mới.",phrase,IELTS
ozone layer depletion,,sự suy giảm tầng ozon,"refers to a steady decline in the total amount of ozone in the
Earth's atmosphere","Ozone layer depletion has the effect of allowing harmful
radiation from the sun to penetrate the atmosphere and this increases the
risk to humans of skin cancer.","Sự suy giảm tầng ozon gây ra ảnh hưởng tiêu cực khi cho phép bức
xạ có hại từ mặt trời xâm nhập bầu khí quyển và điều này làm tăng nguy
cơ gây ung thư da.",phrase,IELTS
an ecological crisis,,khủng hoảng sinh thái,"a serious situation that occurs when the environment of a
species or a population changes in a way that destabilizes its continued
survival","Environmental degradation caused by human activity is
provoking an ecological crisis which threatens our existence.","Suy thoái môi trường do những hoạt động của con người đang tạo
ra khủng hoảng sinh thái đe dọa sự tồn tại của chúng ta.",phrase,IELTS
carbon footprint,,Dấu chân carbon,"a measure of the amount of carbon dioxide that is produced by
the daily activities of a company or person","By providing subsidies, governments should encourage
companies to reduce their carbon footprint through energy efficiency or
other ‘green measures'.","Bằng việc trợ cấp, chính phủ các nước khuyến khích các doanh
nghiệp giảm dấu chân carbon qua việc sử dụng năng lượng hiệu quả hay
các biện pháp xanh khác.",phrase,IELTS
to cut down on emissions,,giảm lượng khí thải,to reduce the amount of gases sent out into the air,"People must be made aware of the need tocut down on
emissions from their cars if we are to reduce air pollution.","Mọi người cần có ý thức về sự cần thiết của việc giảm lượng khí thải
từ xe ô tô nếu chúng ta muốn giảm ô nhiễm không khí.",phrase,IELTS
to fight climate change,,ngăn chặn biến đổi khí hậu,"To try to prevent changes in climate patterns, such as rainfall,
temperature and winds.","Unless we consume less of the Earth's natural resources, it will be
impossible to fight climate change and safeguard our future.","Trừ khi chúng ta tiêu thụ ít tài nguyên thiên nhiên hơn, nếu không
việc ngăn chặn biến đổi khí hậu và đảm bảo cho tương lai sẽ là bất khả thi.",phrase,IELTS
