word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to broadcast propaganda,,tuyên truyền qua đài phát thanh/ truyền hình,"to send out a programme on television or radio that may be
false or exagerrated in order to gain support for a political leader, a party
etc","The media in North Korea broadcast propaganda every day
about the dangers of war with South Korea and the USA.","Truyền thông của Bắc Triều Tiên tuyên truyền trên đài phát thanh và
truyền hình hàng ngày về nguy cơ chiến tranh với Nam Triều Tiên và Hoa
Kỳ.",phrase,IELTS
a leading article,,bài xã luận,"a piece of writing which deals with the most important news
item of the day.","Newspapers in my country often have a leading article on some
sensational crime that has been committed.","Báo chí nước tôi thường có bài xã luận về những vụ đánh ghen đã
xảy ra.",phrase,IELTS
editorial policy,,chính sách biên tập,"the policy of the newspaper, as decided by the person in charge
of producing the newspaper","The editorial policy of a newspaper determines whether serious
news items are reported in a responsible way.","Chính sách biên tập của một tờ báo quyết định những tin tức mới
nghiêm trọng có được viết một cách có trách nhiệm hay không.",phrase,IELTS
yellow journalism,,báo lá cải,"is a type of journalism that presents little or no legitimate well-
researched news and instead uses eye-catching headlines to sell more
newspapers.","Techniques used in yellow journalism may include exaggerations
of news events, scandal-mongering or sensationalism","Thủ đoạn hay sử dụng trong báo lá cải thường là nói quá về các sự
kiện, scandal hay các tin giật gân.",phrase,IELTS
to carry a story,,truyền tải/ chứa đựng câu chuyện nào đó,to include an item in a news report,"The media nowadays carries too many stories about celebrities
and trivia and not enough serious news.","Truyền thông ngày nay thường truyền tải quá nhiều câu chuyện về
người nổi tiếng và không có đủ các tin tức quan trong khác.",phrase,IELTS
news coverage,,việc đưa tin tức,"the reporting of news and sport in newspapers, tv, or radio.","The US presidential election received global news coverage, so
that the whole world became interested in the outcome.","Cuộc bầu cử tổng thống Mỹ đã được đưa tin trên toàn cầu, cả thế
giới đều mong chờ biết kết quả.",phrase,IELTS
to make front page headlines,,tin trang nhất,"to be an important item of news in the newspapers, on radio or
TV.","It seems that every insignificant event in the lives of celebrities
makes front page headlines.","Có vẻ như từng sự kiện không quan trọng trong cuộc sống của
người nổi tiếng đều có thể trở thành những tin trang nhất các báo.",phrase,IELTS
breaking news,,"tin nóng, tin đặc biệt","newly received information about an event that is currently
taking place","One disadvantage of the printed media is that it is unable to
carry the latest breaking news stories.",Một bất lợi của báo in là không thể có những tin nóng mới nhất.,phrase,IELTS
up to the minute,,cập nhật từng phút,having the latest information,"Newspapers are unable to provide up to the minute news
coverage of events as they happen.","Báo chí không thể cập nhật tin tức từng phút về sự kiện ngay khi
vừa diễn ra.",phrase,IELTS
stale news,,tin cũ rich,"information that is no longer interesting or new, because it has
already been reported","Newspapers have now become only a source of stale news,
which is a major reason why they have become less popular.","Báo chí hiện nay đã trở thành nguồn tin cũ, là nguyên nhân chủ yếu
khiến chúng trở nên ít phổ biến hơn.",phrase,IELTS
falling circulation,,lượng phát hành đang giảm,"the decline in the number of copies of a newspaper sold each
day","As a result of their falling circulation, newspapers are losing
advertising revenue.","Do lượng phát hành giảm xuống, các tờ báo đang mất đi doanh thu
từ việc quảng cáo.",phrase,IELTS
celebrity endorsement,,sự tham gia của người nổi tiếng,"A form of brand or advertising campaign that involves a well
known person using their fame to help promote a product or service","Celebrity endorsement by famous TV stars is commonly used by
companies to encourage consumers to trust and buy their products.","Sự tham gia của những ngôi sao truyền hình nổi tiếng thường được
các công ty sử dụng để khuyến khích người tiêu dùng tin và mua sản
phẩm của họ.",phrase,IELTS
to subscribe to a magazine,,mua tạp chí dài hạn,to pay money regularly in order to receive a copy of a magazine,"Those with a strong interest in a particular field sometimes prefer
to subscribe to a magazine which has articles relating to that area.","Những người có nhiều hứng thú về 1 lĩnh vực cụ thể có thể đặt mua
dài hạn cuốn tạp chí thuộc lĩnh vực đó.",phrase,IELTS
the financial/business sections,,lĩnh vực tài chính,the economic area relating to money or how money is managed,"Newspapers have increasingly turned to providing expert,
detailed analysis of recent events, for example in their financial or
business sections.","Các tờ báo đang hướng đến việc cung cấp những phân tích chuyên
nghiệp, chi tiết về các sự kiện gần đây, đặc biệt trong lĩnh vực tài chính
hoặc kinh doanh.",phrase,IELTS
