word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
crime of passion,,"đánh ghen, tội do ghen tuông","refers to a crime, especially murder, caused by sexual jealousy","People who carry out crimes of passion often regret their
actions later, when they reflect on what they have done.","Những người phạm tội do ghen tuông sau đó thường rất hối hận
khi nghĩ lại những gì đã làm.",phrase,IELTS
to serve a prison sentence,,thi hành án,to carry out confinement in prison as a punishment,"They are serving long prison sentences for their part in the
assassination.",Họ phải chịu mức tù phạt dài vì tham gia vào vụ ám sát.,phrase,IELTS
to turn to crime/ drugs,,bắt đầu phạm tội/ dùng thuốc,To start committing crimes or using drugs.,"During periods of high youth unemployment, some youngsters
turn to crime to obtain money.","Trong thời gian còn trẻ mà thất nghiệp, nhiều người trẻ bắt đầu dấn
thân vào con đường tội phạm để kiếm tiền.",phrase,IELTS
to be tough on crime,,phạt nặng,To punish crime severely,"The crime rate is likely to fall if governments take strong
measures to be tough on crime.","Tỉ lệ tội phạm chắc chắn sẽ giảm nếu chính phủ có những biện pháp
mạnh tay và đưa ra hình phạt nghiêm khắc với những kẻ phạm tội.",phrase,IELTS
to contestthe verdict,,phản đối quyết định của tòa án/ chống án,not agree with the decision of the jury after the trial of a case,"In many countries, the accused person has the right to contest
theverdict which was reached in the court.","Ở nhiều nước, bị cáo có quyền phản đối quyết định của tòa khi đưa
ra xét xử.",phrase,IELTS
to take into consideration,,xem xét,"to think about a particular fact or detail and allow it to have
some influence when you are making a decision","The previous criminal records of those who are found guilty must
be taken into consideration when a sentence is passed.",Cần xem xét tiền án tiền sự của những kẻ phạm tội.,phrase,IELTS
to reintegrate back into society/ community,,tái hòa nhập cộng động,to restore someone through education or therapy,"There is an increasing focus among policy-makers and
practitioners on identifying programs and strategies that will help
prisoners successfully reintegrate back into their communities without
re-offending.","Các nhà hoạch định chính sách và những người thực hiện đang tập
trung vào việc xác định các chương trình và chiến lược giúp người phạm
tội tái hòa nhập cộng đồng thành công.",phrase,IELTS
to be soft on crime,,phạt nhẹ,not to impose strict punishments on offenders,"In order to deter criminals effectively, governments must not
follow policies which are soft on crime.","Để giảm thiểu tội phạm một cách hiệu quả, chính phủ không nên
nhẹ tay với những kẻ phạm tội.",phrase,IELTS
a policy of zero tolerance,,chính sách không khoan nhượng,"a policy of applying laws very strictly, so that every illegal action
is punished, even if it is not very serious","I would argue that the most effective way to reduce crime is to
implement a policy of zero tolerance.","Tôi cho rằng cách hiệu quả nhất để giảm thiểu tội phạm là thực thi
chính sách không khoan nhượng.",phrase,IELTS
a chance of rehabilitation,,cơ hội tái hòa nhập,"a chance of helping someone to have a normal life after serving
a prison sentence","We should give ex-offerders a chance of rehabilitation and
teach them how to become useful members of society.","Chúng ta nên cho những người từng phạm tội một cơ hội tái hòa
nhập cộng đồng và dạy họ cách trở thành những công dân có ích cho xã
hội.",phrase,IELTS
to embark on something,,dấn thân vào cái gì,To start something new,"Young people sometimes embark on a life of crime as a result of
the bad influence of criminals whom they know.","Đôi khi người trẻ dấn thân vào con đường tội phạm là do ảnh
hưởng xấu từ những kẻ phạm tội mà họ quen biết.",phrase,IELTS
to make a fresh start,,một khởi đầu mới,to try something new after making mistakes in one's life,"I believe that people should have the opportunity to make a
fresh start after they are released from prison.",Tôi tin rằng ai cũng có cơ hội làm lại cuộc đời sau khi ra tù.,phrase,IELTS
to act as a deterrent,,rào cản,a measure which makes somebody less likely to do something,"Longer prison sentences would act as a deterrent and would be
one useful measure to tackle rising crime.","Thời gian thi hành án dài hơn sẽ là rào cản và là một biện pháp hữu
hiệu để giải quyết vấn đề tệ nạn gia tăng.",phrase,IELTS
to release back into society.,,được thả tự do,to give freedom to prisoners who have finished their sentences.,"He was released back into society after serving two years of a
five-year sentence.","Anh ta được trả tự do sau khi được giảm án, chỉ thực hiện 2/5 năm
tù.",phrase,IELTS
corporal punishment,,hành hạ thể xác,to punish by physically harming the offender,"Many schools have abandoned the policy of corporal
punishment for children who misbehave and prefer to give extra work or
detention after school instead.","Nhiều trường học đã cấm việc trừng phạt bằng thể xác với những
học sinh mắc lỗi và hướng tới thay thế bằng cách giao việc làm thêm sau
giờ học.",phrase,IELTS
drug traffic-king,,mua bán ma túy,importing and selling illegal drugs,"Some people argue that legalising drugs would put an end to the
evil of drug traffic-king and the violence associated with it.","Một số người cho rằng hợp pháp hóa các loại thuốc sẽ chấm dứt
việc mua bán thuốc bất hợp pháp và các vấn đề liên quan.",phrase,IELTS
a non-custodial sentence,,không phải ở tù,a sentence which is not served in prison,"There is a wide range of non custodial sentences which a court
may give to offenders, including: fines, probation orders or community
service orders.","Có rất nhiều hình thức phạt một tòa án có thể đưa ra: phạt tiền, phạt
cấm và lao động công ích.",phrase,IELTS
to be found guilty,,có tội,the court decided that the person did commit the crime,"If people are found guilty of committing serious offences, heavy
punishments should be imposed.",Nếu phạm tội nghiêm trọng thì cần được trừng phạt thích đáng.,phrase,IELTS
