word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
beyond comprehension,,"quá tầm hiểu biết/ nhận thức, không thể hiểu/ tin
được","impossible to understand, unbelievable","It is beyond comprehension that some politicians deny the
reality of global warming","Không thể tin được khi một số chính trị gia phủ nhận việc nóng lên
toàn cầu.",phrase,IELTS
critical thinking,,tư duy phản biện,"the process of analyzing information in an objective way, in
order to make a judgment about it",Critical thinking skills enable students to evaluate information.,Kỹ năng tư duy phản biện cho phép học sinh đánh giá thông tin.,phrase,IELTS
broaden one's literary horizons,,mở mang hiểu biết văn học,"to widen the limit of your desires, knowledge, or interests by
reading widely","Schools should broaden the literary horizons of pupils by
encouraging them to read in class and at home.","Trường học nên mở mang hiểu biết văn chương của học sinh bằng
cách khuyến khích các em đọc tại lớp và tại nhà.",phrase,IELTS
a turn of phrase,,một cách diễn đạt khác,a particular way of describing something,"In order to be a creative writer, a good turn of phrase is not as
important as imagination.","Để trở thành một nhà văn sáng tạo,, một cách diễn đạt tốt là rất cần
thiết.",phrase,IELTS
to read something into something,,nghĩ quá về cái gì,to think that something means more than it really does,"It is important not to read too much into election promises, but
rather to evaluate the actions of governments.","Quan trọng là không nghĩ quá nhiều về những lời hứa khi bầu cử,
mà hãy đánh giá hành động thực sự của chính phủ đó.",phrase,IELTS
a period of readjustment,,thời gian thích nghi,the act of getting used to a changed or new situation,"Those who migrate to cities have to undergo a painful period
ofreadjustment in their search for a better life.","Những người dân di cư tới thành phố sẽ phải trải qua một thời gian
khó khăn để thích nghi để có cuộc sống tốt hơn.",phrase,IELTS
to read on,,đọc tiếp,to continue reading,"In the busy lives which many people lead today, we have become
accustomed to glance quickly at news stories and we fail to read on and
discover the facts behind the headlines.","Trong cuộc sống bận rộn của nhiều người hiện nay, chúng ta đã
quen với việc chỉ liếc qua những tin tức mới mà không đọc tiếp và tìm hiểu
sự thật đằng sau những cái đầu đề.",phrase,IELTS
to break with precedent,,phá vỡ tiền lệ,to do something in a different way,"I believe that universities should break with precedent and
admit more women to engineering and science courses.","Tôi tin rằng các trường đại học nên phá vỡ tiền lệ và nhận nhiều phụ
nữ vào các khóa học kỹ sư và khoa học hơn.",phrase,IELTS
to read over something,,"đọc kỹ, đọc từ đầu đến cuối","to read something carefully from beginning to end to look for
mistakes or check details","Attention to detail is so important in many jobs, so the practice
of reading over one's written work should be taught at school and
university.","Sự cẩn thận, tập trung từng chi tiết là rất quan trọng trong nhiều
công việc, nên việc thực hành đọc một tác phẩm từ đầu đến cuối nên được
dạy ở trường học và đại học.",phrase,IELTS
to come to somebody's knowledge,,được ai đó biết tới,to become known by somebody,"If it comes to the knowledge of your manager that you are
honest and hard-working, your promotion prospects will be improved.","Nếu được nhà quản lí biết tới là một người chân thành và chăm chỉ
thì khả năng được thăng tiến của bạn sẽ tốt hơn.",phrase,IELTS
safe in the knowledge that,,chắc chắn về cái gì đó,"confident because you know that something is true or will
happen","I would recommend that people should eat only organic food,
safe in the knowledge that it contains no harmful chemicals.","Tôi cho rằng mọi người chỉ nên ăn thực phẩm hữu cơ vì biết chắc
rằng nó không có các hóa chất độc hại.",phrase,IELTS
to dig deep (into something),,đào sâu tìm hiểu về cái gì,to search thoroughly for information,"Computer technology has enabled authorities to dig deep into
all kinds of personal records relating to ordinary citizens.","Công nghệ thông tin đã cho phép chính quyền các nước tìm hiểu
sâu về các loại thông tin cá nhân liên quan đến công dân của họ.",phrase,IELTS
to do something to the letter,,làm đúng theo hướng dẫn,"to do exactly what somebody or something instructs, paying
attention to every detail","It is important to apply the law to the letter, so that every illegal
action is punished.","Cần phải áp dụng luật đúng theo hướng dẫn, để mọi việc làm trái
pháp luật đều bị trừng phạt.",phrase,IELTS
